author_id,author_language,author_source_id,author_display_name,author_canonical_name,author_agent_kind,author_historicity_status,author_period,author_date_range,author_region,author_cultural_context,author_bio,author_prominence_score,author_prominence_tier,author_confidence,author_notes,author_generator_models,author_generator_run_id,work_count,word_count,representative_titles
tlg0317,grc,tlg0317,Acta Joannis,Acta Joannis,work_title,not_applicable,Late Antique,2nd–3rd century CE,Asia Minor,Christian,"An apocryphal Acts of John, composed in Greek in the early Christian period. The work is anonymous, and the author slot is filled by the title.",55,common,high,Standard catalog entry for an anonymous early Christian text; the label 'Acta Joannis' represents the work itself.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,2,15266,Acta Joannis | Acta Joannis (recensio)
tlg0384,grc,tlg0384,Acta Justini Et Septem Sodalium,Acta Justini et septem sodalium,work_title,not_applicable,Late Antique,2nd-4th cent. CE,Rome,Christian Greek,"Acta Justini et septem sodalium are Christian martyr acts recounting the trial and execution of Justin Martyr along with seven companions. Multiple recensions exist, reflecting hagiographical development. The texts are anonymous and transmitted under this conventional title.",40,specialist,high,This entry is a title-based author heading in the corpus. The work is anonymous and the heading reflects that.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,3,2318,Acta Justini et septem sodalium (recensio C) | Acta Justini et septem sodalium (recensio B) | Acta Justini et septem sodalium (recensio A)
tlg0388,grc,tlg0388,Acta Pauli,Acta Pauli,work_title,not_applicable,Late Antiquity,2nd-3rd century CE,Asia Minor,Christian,"The Acts of Paul is an early Christian apocryphal text, traditionally dated to the 2nd century CE, detailing the missionary travels and miracles of the Apostle Paul. The text circulated in various recensions and includes the well-known Acts of Paul and Thecla.",75,major,high,The title occupies the author slot because the work is anonymous; multiple manuscripts and versions are extant.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,5,9757,Acta Pauli et Theclae | Acta Pauli | Martyrium Pauli | Pauli et Corinthiorum epistulae (P. Bodmer 10) | Acta Pauli et Theclae (partis finalis recensio e codice G)
tlg0389,grc,tlg0389,Acta Petri,Acta Petri,work_title,not_applicable,Late Antique,2nd–3rd century CE,Eastern Mediterranean,Christian,The Acts of Peter is an early Christian apocryphal text recounting the deeds and martyrdom of the apostle Peter. It survives in Greek fragments and Latin translations.,60,major,high,"The author slot is occupied by the title of the text, as the work is anonymous. The text is known from various manuscript traditions.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,2521,Martyrium Petri
tlg2014,grc,tlg2014,Acta Phileae,Acta Phileae,work_title,not_applicable,3rd-4th century CE,200-399 CE,Egypt,Early Christian,"An apocryphal Christian text recounting the trial and martyrdom of Phileas, bishop of Thmuis. Survives in a single papyrus codex (P. Bodmer 20) and is cited as a work-title author in the TLG corpus.",15,obscure,high,"The name designates the text itself, not a person; classified as work title.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,1035,Acta Phileae (P. Bodmer 20)
tlg2948,grc,tlg2948,Acta Philippi,Acta Philippi,work_title,not_applicable,late antique,3e-4e,Asia Minor / Syria,Christian apocrypha,An early Christian apocryphal Acts describing the missionary travels and martyrdom of the apostle Philip. The text survives in Greek in several recensions and epitomes.,40,common,medium,Author field occupied by the title of the text; it is an anonymous apocryphal work.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,4,26620,Acta Philippi | Acta Philippi (recensio) | Acta Philippi (epitome)
tlg0391,grc,tlg0391,Acta Scillitanorum Martyrum,Acts of the Scillitan Martyrs,work_title,not_applicable,Late Antiquity,c. 180–200 CE,"North Africa (Scilli, now Scillium)","Early Christian, Latin/African",An early Christian martyr act recounting the trial and execution of a group of Christians from Scilli in North Africa under the Emperor Marcus Aurelius. This is one of the earliest surviving Latin martyr accounts and provides important evidence for the spread of Christianity in Roman Africa.,20,specialist,high,The 'author' field is occupied by the title itself because the text is anonymous; no personal author is identified. The account is a documentary record preserved in Greek transmission as well as Latin. Author_agent_kind is set to 'work_title' accordingly.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,674,Acta Scillitanorum martyrum sive Passio Sperati et sociorum
tlg2038,grc,tlg2038,Acta Thomae,Acta Thomae,work_title,not_applicable,Antiquity,2nd–4th cent.,Syria / Eastern Mediterranean,Early Christian,The Acts of Thomas is an early Christian apocryphal text narrating the missionary journeys and miracles of the apostle Judas Thomas in India. It survives in several Greek recensions with Syriac and other versions.,70,canonical,high,The author slot is occupied by the title of the work itself; it is not attributed to a named person. The entry represents a corpus of manuscripts under this title.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,5,36522,Acta Thomae | Acta Thomae (recensio) | Carmen animae (De margarita) (cod. Rom. vallicellanus B 35) | Carmen animae (De margarita) (paraphrasis Nicetae) | Actorum Thomae consummatio
tlg2248,grc,tlg2248,Acta Xanthippae Et Polyxenae,Acta Xanthippae et Polyxenae,work_title,not_applicable,Late Antiquity / Byzantine,6th–7th c. CE (approx.),Unknown (possibly Asia Minor or Egypt),Christian apocryphal literature,"The Acts of Xanthippe and Polyxena is an apocryphal Christian text recounting the adventures and conversions of two noblewomen, associated with the apostle Paul. The work is attributed in the source to a certain 'Onesimus', but the traditional indexing uses the title as the author slot.",25,specialist,medium,"Source (TLG 2248) lists one work (9,652 words) with the note 'sub auctore Onesimo'. The author slot is occupied by the title of the work itself; the actual author ('Onesimus') is pseudonymous or legendary. Classification as 'work_title' reflects this convention.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,9652,Acta Xanthippae et Polyxenae (sub auctore Onesimo)
tlg0392,grc,tlg0392,Acusilaus,Acusilaus of Argos,person,historical,Archaic/Early Classical period,c. 600-500 BCE,Argos,Greek mythography and early historiography,"Acusilaus of Argos was an early Greek mythographer and logographer of the 6th century BCE. His 'Genealogies' systematized Greek myths, drawing on Hesiod and oral traditions. His works survive only in fragments and testimonies, but were influential for later historians.",35,specialist,medium,Acusilaus is often cited alongside Hecataeus of Miletus. The fragments are preserved in later scholia and compilations.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,4,5570,Fragmenta | Testimonia
tlg0731,grc,tlg0731,Adamantius (Judaeus Med.),Adamantius Judaeus,person,historical,Late Antiquity,4th century CE,Alexandria (Egypt),Jewish medical and physiognomic tradition,"Adamantius Judaeus was a Jewish physician and physiognomist active in Alexandria. His contributions include a work on physiognomics, a treatise on winds, and an epitome. His writings blend Hellenistic medical science with Jewish cultural elements.",40,specialist,high,"The label 'Judaeus Med.' indicates Jewish medical writer; three works survive, suggesting a more significant corpus than many fragmentary authors.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,3,17369,Physiognomonica | De ventis | Physiognomonica (epitome Matritensis)
tlg2950,grc,tlg2950,Adamantius (Theol.),Adamantius (theologian),person,historical,Late Antiquity,4th–5th century CE,Anatolia,Early Christian theology; anti-Marcionite dialogue tradition,"Adamantius is the purported author of the Greek dialogue 'De recta in deum fide', a work long misattributed to Origen Adamantius. The text is a 4th-century anti-Marcionite and anti-Gnostic theological dialogue. The authorial label 'theol.' indicates a tradition that distinguishes this figure from Origen. The work has been transmitted under this name, representing an active Christian intellectual milieu in late antique Anatolia.",40,specialist,medium,Source label 'theol.' differentiates from Origen; the dialogue's authorship remains uncertain but is traditionally assigned to a distinct 'Adamantius' in theological literature.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,29588,De recta in deum fide (olim sub auctore Origene Adamantio)
tlg2648,grc,tlg2648,Adespota Papyracea,Adespota Papyracea,anonymous_label,not_applicable,Hellenistic to Roman,3rd century BCE – 3rd century CE,Egypt (papyrus finds),"Anonymous Greek papyrus fragments, multiple genres","Collection of anonymous Greek papyrus fragments, including hexameter poems, epigrams, elegiac verses, and miscellanea of uncertain authorship.",20,specialist,high,Explicitly anonymous: 'Adespota' means 'without a master'; works of unknown authorship grouped under this heading.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,4,5452,Hexametri | Epigrammata | Elegiae | Miscellanea
tlg0666,grc,tlg0666,Adrianus,Adrianus,person,historical,1st-2nd century CE,,Rome,Greek rhetoric under Roman Empire,"Adrianus was a Greek rhetorician of the 1st-2nd centuries CE, known for his declamation. He is possibly identical with the sophist Adrianus of Tyre, though the attribution of the surviving declamation remains uncertain.",30,specialist,medium,The name is common and identification with known sophists is plausible but not certain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,292,Declamatio
tlg0668,grc,tlg0668,Aegimius,Aegimius,person,legendary,Archaic,7th-6th century BCE,Greece,Greek epic,Legendary figure to whom a lost epic poem (the *Aegimius*) was sometimes attributed; possibly a Dorian hero or early poet.,10,obscure,low,Likely a pseudepigraphic name attached to an epic work; historicity uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,78,Aegimius (fragmenta)
tlg0545,grc,urn:cts:greekLit:tlg0545,Aelian,Claudius Aelianus,person,historical,Roman Imperial,ca. 165–235 CE,Rome (born in Praeneste),Second Sophistic / Roman Greek literature,"Claudius Aelianus (Aelian) was a Roman‑era Greek author and rhetorician active during the Severan period. He is best known for his miscellanies 'On the Nature of Animals' and 'Various History', which compile curious anecdotes about natural history, moral exempla, and historical snippets. His work is a major source for ancient zoological lore and for the Greek intellectual world of the Second Sophistic.",80,major,high,Well‑attested historical figure with multiple surviving works and extensive manuscript tradition. Date range well‑established from historical references. Prominence is high within the Greek classical and Natural History tradition.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,5,162843,De natura animalium | Varia historia | Fragmenta | Epistulae rusticae | Titulus
tlg0546,grc,tlg0546,Aelianus,Aelianus,person,historical,Hellenistic,ca. 4th–3rd cent. BCE?,Asia Minor?,"Hellenistic military literature, tactical treatises","Aelianus (Aelian) is the name associated with a Greek manual on military tactics (Tactica), probably dating to the Hellenistic period. The identity of the author is otherwise unknown; he may be distinct from the more famous Aelian the Sophist.",40,common,low,The attribution is uncertain; the Tactica is often referred to as 'Aelian's Tactics' but the author's historicity and identity are not secure.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,10724,Tactica
tlg0284,grc,urn:cts:greekLit:tlg0284,Aelius Aristides,Aelius Aristides,person,historical,Imperial Roman (Second Sophistic),117-181 CE (approx.),"Asia Minor (Hadriani/Stratonicea, Smyrna)",Greek,"Aelius Aristides was a prominent Greek rhetorician and sophist of the Second Sophistic, celebrated for his ornate orations and his polemical defense of rhetoric against Plato.",90,canonical,high,"Well-documented life and extensive corpus. The 'Ars rhetorica Sp.' is likely spurious. His works include the Hieroi Logoi, a unique autobiographical account of his illnesses and dream therapy.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,57,330344,Πρὸς Πλάτωνα ὑπὲρ τῶν τεττάρων | Πρὸς Πλάτωνα περὶ ῥητορικῆς | Παναθηναϊκός | Ars rhetorica Sp. | Περὶ τοῦ παραφθέγματος | Πρὸς Λεπτίνην ὑπὲρ ἀτελείας | Αἰγύπτιος | Πρὸς Δημοσθένη περὶ ἀτελείας
tlg2434,grc,tlg2434,Aelius Dius,Aelius Dius,person,historical,Roman Imperial,2nd-3rd century CE,Unknown,Greek literature,"Little-known Greek author of the Imperial period, surviving only in fragments.",3,obscure,low,Very few fragments survive; almost no biographical information.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,209,Fragmenta
tlg1323,grc,tlg1323,Aelius (Dionysius),Aelius Dionysius,person,historical,Roman Imperial,2nd c. CE,Mediterranean,Greek,"Aelius Dionysius was a Greek grammarian and lexicographer of the Roman period, known for his Atticist lexicon Attika Onomata. This work, which survives only in fragments, was a key reference for Atticist revival in the Second Sophistic.",40,specialist,medium,His work is known through later lexicographers and epitomes.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,15968,Ἀττικὰ ὀνόματα
tlg0087,grc,tlg0087,Aelius (Herodianus et PseudoHERODIANUS),Aelius Herodianus,person,historical,2nd century CE,c. 150–200 CE,"Alexandria, Rome","Imperial Greek grammar, Alexandrian school","Aelius Herodianus was a Greek grammarian from Alexandria, author of major works on prosody, orthography, and inflection; his corpus includes many genuine and spurious attributions collectively transmitted under his name.",70,major,medium,The display name includes Pseudo-Herodianus notes due to the large corpus of spurious works; the historical Herodianus is well-known but many works are misattributed.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,50,519495,De prosodia catholica | Περὶ κλίσεως ὀνομάτων | Περὶ ὀρθογραφίας | Περὶ παθῶν | Περὶ Ἰλιακῆς προσῳδίας | Partitiones (= Ἐπιμερισμοί) [Sp.?] (e codd. Paris. 2543 + | Περὶ ῥημάτων | Περὶ παθῶν (supplementum)
tlg0607,grc,tlg0607,Aelius (Theon),Aelius Theon,person,historical,early imperial,fl. ca. 1st–2nd century CE,Alexandria,Greek (Roman Empire),"Aelius Theon was a Greek rhetorician and author of the Progymnasmata, a textbook of elementary rhetorical exercises that exerted strong influence on later Byzantine and Renaissance education.",65,major,high,Theon (Theon) is the standard name; Aelius is the Roman nomen. Sometimes confused with other Theons.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,18962,Progymnasmata
tlg4001,grc,tlg4001,Aeneas,Aeneas Gazeaus,person,historical,Late Antiquity,5th century CE,Gaza,Greek Christian rhetoric and philosophy,"A Christian Neoplatonist rhetorician from Gaza, known for a theological dialogue on the immortality of the soul and resurrection, and for a collection of letters attesting to late antique intellectual culture.",40,specialist,medium,Standard TLG identifier; author is historical but not widely known outside patristic and philosophical circles.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,2,18156,Theophrastus sive de animarum immortalitate et corporum resurrectione dialogus | Epistulae
tlg0058,grc,urn:cts:greekLit:tlg0058,Aeneas Tacticus,Aeneas Tacticus,person,historical,classical,4th century BCE,Arcadia?,Greek military writing,"Aeneas Tacticus was an early Hellenistic military writer known for his treatise on siegecraft, the 'Poliorcetica'. He is considered the earliest surviving author of a Greek tactical manual.",40,specialist,high,The source identifier is stable; the single work is well-attested and of moderate length.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,14265,Poliorcetica
tlg0026,grc,urn:cts:greekLit:tlg0026,Aeschines,Aeschines of Athens,person,historical,Classical (4th cent. BCE),ca. 390–ca. 322 BCE,Athens,"Attic oratory, Athenian politics","Aeschines of Athens was a prominent Attic orator and rival of Demosthenes. Three of his speeches survive, along with spurious letters, providing insight into fourth-century Athenian political and legal life.",85,canonical,high,A major canonical orator; the TLG source ID uses URN format.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,4,49663,In Ctesiphontem | In Timarchum | De falsa legatione | Epistulae Sp.
tlg0673,grc,tlg0673,Aeschines Socraticus,Aeschines Socraticus,person,historical,Classical,c. 425–350 BCE,Athens,Socratic circle and dialogues,"A follower of Socrates and writer of Socratic dialogues, whose works survive only in fragments; distinct from the orator Aeschines.",40,common,high,Historically attested figure; fragments are studied for their testimony on Socratic philosophy.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,2,4405,Fragmenta
tlg0679,grc,tlg0679,Aeschrion,Aeschrion,person,historical,Hellenistic,c. 4th–3rd century BCE,Mediterranean,Greek,"Aeschrion was a Hellenistic Greek poet, known for epigrammatic and fragmentary works. His surviving output is minimal, but he is recognized within the Greek epigram tradition.",15,obscure,medium,The identification is based on fragmentary evidence; the name is poorly attested in literary sources.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,2,186,Fragmenta et tituli | Epigramma
tlg0085,grc,urn:cts:greekLit:tlg0085,Aeschylus,Aeschylus,person,historical,Classical,c. 525–456 BCE,Athens,Greek tragedy,"Founder of Greek tragedy, known for his dramatic innovations and surviving plays such as the *Oresteia* and *Persae*.",95,canonical,high,Well-attested historical figure; corpus includes tragedies and fragments from lost plays.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,11,90629,Fragmenta | Agamemnon | Prometheus vinctus | Choephoroe | Eumenides | Persae | Septem contra Thebas | Supplices
tlg0321,grc,tlg0321,Aeschylus Alexandrinus,Aeschylus Alexandrinus,person,uncertain,Hellenistic,3rd–2nd century BCE,Alexandria (Egypt),Hellenistic Greek poetry,"Aeschylus Alexandrinus is a little-known Hellenistic poet, probably from Alexandria, of whom only a fragment and a title survive. His relationship to other writers named Aeschylus is unclear.",4,obscure,low,The epithet 'Alexandrinus' distinguishes him from the famous tragedian; evidence is minimal.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,3,45,Testimonium | Fragmentum | Titulus
tlg0096,grc,tlg0096,Aesopus,Aesop,person,legendary,Archaic / Classical Greece,ca. 620-564 BCE (traditional),"Greece (likely Samos, later Delphi)",Greek,Aesop is the legendary fabulist credited with a corpus of beast fables that became foundational for Greek and later Western moral storytelling.,95,canonical,high,Much of the biographical tradition is legendary. The fable collection under his name is a pseudepigraphic corpus accumulated over centuries.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,17,70438,Fabulae | Fabulae (dodecasyllabi) | Fabulae Syntipae philosophi | Proverbia | Fabulae Aphthonii rhetoris | Fabulae Dosithei | Sententiae | Fabulae Libanii
tlg0683,grc,tlg0683,Aethiopis,Aethiopis,work_title,not_applicable,Archaic,c. 7th–6th century BCE,Greece,Greek,"A lost epic poem of the Epic Cycle, attributed to Arctinus of Miletus in ancient sources. It narrated events following the Iliad, including the death of Achilles.",50,common,medium,The author slot is occupied by the title of the lost epic. Attribution to Arctinus is traditional but not certain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,25,Aethiopis (fragmenta)
tlg0686,grc,tlg0686,Aethlius,Aethlius,person,uncertain,Uncertain (Hellenistic?),unknown,unknown,Greek,Aethlius is known only from fragments and may be a shadowy figure from the Greek historiographical or paradoxographical tradition. The name appears in a few citations; his identity and historical existence are very uncertain.,5,obscure,low,Very fragmentary evidence from indirect citations. Insufficient to determine historicity; status marked as uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,203,Fragmenta
tlg0528,grc,tlg0528,Aëtius (Doxogr.),Aëtius (Doxographus),person,uncertain,Imperial,c. 1st cent. BCE - 2nd cent. CE,Eastern Mediterranean,Greco-Roman philosophy,"Aëtius is a name given to a hypothetical Greek doxographer, whose lost work on the opinions of natural philosophers is reconstructed from later quotations, chiefly in Stobaeus, Theodoret, and Nemesius. The figure is a scholarly construct used to explain shared source material.",65,specialist,medium,"The identification of Aëtius as a real person is uncertain; the name is a modern label for a reconstructed source anthology. The corpus consists of two sets of fragments preserved in Stobaeus and in Theodoret/Nemesius, sometimes called the Aëtian Placita.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,2,14715,De placitis reliquiae (Stobaei excerpta) | De placitis reliquiae (Theodoreti et Nemesii excerpta)
tlg0718,grc,tlg0718,Aëtius (Med.),Aëtius of Amida,person,historical,Late Antique,6th cent. CE,Amida (Mesopotamia),Byzantine medicine,Aëtius of Amida was a prominent Byzantine physician whose encyclopedic work 'Iatricorum' compiled medical knowledge from earlier Greek and Roman sources.,70,major,high,Extensive extant corpus; key figure in the transmission of ancient medical lore.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,14,405729,Iatricorum liber viii | Iatricorum liber xvi | Iatricorum liber vii | Iatricorum liber ix | Iatricorum liber vi | Iatricorum liber i | Iatricorum liber v | Iatricorum liber ii
tlg0687,grc,tlg0687,Agaclytus,Agaclytus,person,historical,Hellenistic?,uncertain (possibly 2nd–1st c. BCE?),Mediterranean,Fragmentary Greek author; possibly a grammarian or historian known only from a single quoted fragment.,"Agaclytus is known only from a single fragment, transmitted via later anthologies. His original context and genre are obscure.",5,obscure,low,Only 207 words survive; the source label indicates fragmentum; no further biographical detail.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,207,Fragmentum
tlg2605,grc,tlg2605,Agamestor,Agamestor,person,uncertain,Classical or later,4th century BCE?,Greek world,Epic or genealogical poetry,"Agamestor is known only from a single fragment, possibly from a lost epic or genealogical poem. The author's historicity cannot be confirmed.",1,obscure,low,Single fragment of uncertain provenance.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,26,Fragmentum
tlg0067,grc,tlg0067,Agatharchides (Geogr.),Agatharchides of Cnidus,person,historical,Hellenistic,2nd c. BCE,Cnidus / Alexandria,Greek,"Agatharchides was a Greek historian and geographer active at Alexandria in the 2nd century BCE. He wrote a work on the Erythraean Sea, now surviving only in excerpts.",50,major,high,"The disambiguation '(Geogr.)' distinguishes him from other Agatharchides. Attested by later authors (e.g., Diodorus Siculus, Photius).",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,4,19967,De mari Erythraeo (excerpta) | Fragmenta | Testimonia | Fragmenta sedis incertae
tlg2192,grc,tlg2192,Agatharchides (Hist.),Agatharchides,person,historical,Hellenistic,2nd century BCE,Alexandria,Greek,Greek historian and geographer active in Alexandria during the 2nd century BCE. Known for his work on the Red Sea and fragments preserved by later authors.,65,common,high,The label '(Hist.)' distinguishes this Agatharchides from other homonymous figures. The sole fragment is transmitted indirectly.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,223,Fragmentum
tlg0090,grc,urn:cts:greekLit:tlg0090,Agathemerus,Agathemerus,person,historical,Imperial Roman/Early Byzantine,5th century CE,Mediterranean,Greek geography,"Agathemerus is a little-known Greek geographer, likely active in the late Roman or early Byzantine period. His 'Geographiae informatio' (Hypotyposis geographiae) is a concise compendium of geography known from a single manuscript.",30,obscure,low,Very little is known of Agathemerus beyond his work; the name is attested only in the manuscript tradition.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,2059,Geographiae informatio
tlg4024,grc,tlg4024,Agathias,Agathias Scholasticus,person,historical,Late Antiquity (6th c. CE),ca. 532–580 CE,Constantinople,"Greek historian, poet, and lawyer (scholasticus); author of the 'Histories' covering the reign of Justinian.",Agathias was a Byzantine historian and poet. His 'Histories' (in five books) continue the work of Procopius and describe the wars and events of the mid-6th century CE.,65,major,high,Well-attested figure; main work is the 'Histories' (61k+ words); also known for his poetry and the Cycle of Agathias.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,61714,Historiae
tlg0688,grc,tlg0688,Agathocles,Agathocles,person,uncertain,Uncertain,Unknown,Unknown,Unknown,Agathocles is a name attached to a small number of Greek fragments; the identity and period of this author remain uncertain.,5,obscure,low,Attestation is minimal; the fragments may belong to different homonymous authors.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,2,749,Fragmenta | Fragmentum
