author_id,author_language,author_source_id,author_display_name,author_canonical_name,author_agent_kind,author_historicity_status,author_period,author_date_range,author_region,author_cultural_context,author_bio,author_prominence_score,author_prominence_tier,author_confidence,author_notes,author_generator_models,author_generator_run_id,work_count,word_count,representative_titles
phi2002,lat,phi2002,Albinus,Albinus,person,uncertain,unknown,unknown,unknown,uncertain,"Albinus, possibly a grammarian or historian, authored works on Roman history and metre, preserved only in fragments.",10,obscure,low,Identity unclear; possibly multiple authors.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,2,36,Rerum Romanarum Liber I | De Metris
phi0406,lat,phi0406,P. Alfenus Varus,Publius Alfenus Varus,person,historical,late republican,1st century BCE,Roman Republic,Roman jurisprudence,"Publius Alfenus Varus was a Roman jurist, a student of Servius Sulpicius Rufus. His legal writings survive only in fragments, but he is cited in later legal compilations.",15,specialist,medium,Attested in legal sources; dates are approximate.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,60,"iurisprudentia, fragmenta"
phi1203,lat,phi1203,Alfius Avitus,Alfius Avitus,person,historical,early imperial,1st century CE,Roman Empire,Latin poetry,"Alfius Avitus was a Latin poet, known from a few surviving fragments of his carmina. He is cited by later grammarians, but his life remains obscure.",5,obscure,low,Survives only in fragments; dates and biography are uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,47,carmina
phi1500,lat,phi1500,Altercatio Hadriani Augusti et Epicteti Philosophi,Altercatio Hadriani Augusti et Epicteti Philosophi,work_title,not_applicable,Late Antiquity?,4th–5th cent. CE (uncertain),uncertain,Roman (Late Antique),"The 'Altercatio Hadriani Augusti et Epicteti Philosophi' is a fictional dialogue in Latin between the Emperor Hadrian and the Stoic philosopher Epictetus. It is a literary work of uncertain authorship, likely composed in Late Antiquity for rhetorical or moral instruction.",10,specialist,medium,This is a title of a literary work; no actual author is known. The display name functions as the author entry.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,861,Altercatio Hadr. et Epicteti
phi1206,lat,phi1206,L. Ampelius,L. Ampelius,person,historical,2nd–3rd c. CE,fl. c. 150–250 CE,North Africa?,Roman,"A Roman educational writer, author of the Liber Memorialis, a short handbook of geography, history, and cosmology, possibly intended for a young audience. Little is known about his life.",20,specialist,medium,The name 'Ampelius' appears in the manuscript tradition; identity and date are inferred from internal references.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,7866,Liber Memorialis
phi0857,lat,phi0857,L. Annaeus Cornutus,L. Annaeus Cornutus,person,historical,1st c. CE,fl. c. 60 CE,"Rome (born in Leptis, Africa)",Roman Stoic,"A Stoic philosopher and grammarian, Cornutus was a teacher of Persius and Lucan. His Greek and Latin grammatical works survive only in fragments, but he wrote commentaries and philosophical treatises.",20,specialist,medium,His grammatical fragments are cited by later scholiasts; substantial Greek works survive but are not included here.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,163,grammatica
phi1209,lat,phi1209,Annianus,Annianus,person,uncertain,unknown,unknown,unknown,uncertain,"Annianus is a little-known Latin poet, of whom only a few fragments of verse survive.",5,obscure,low,Attribution from late sources; identity unclear.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,50,carmina
phi0002,lat,phi0002,T. Annius Luscus,"Annius Luscus, Titus",person,historical,2nd century BCE,fl. ca. 150 BCE,Rome,Roman oratory (oratio),"Titus Annius Luscus was a Roman senator and orator of the mid-2nd century BCE. A fragment of a speech (oratio) survives, likely from a political context. He is known from historical sources as a contemporary of Cato the Elder.",15,obscure,medium,Fragmentary speech; identity is confirmed by historical testimonia.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,13,oratio
phi9505,lat,phi9505,Anonymi Comici et Tragici,Anonymi Comici et Tragici,anonymous_label,not_applicable,Republican / Imperial,uncertain,Rome,Roman Republic / Empire,"Label for the corpus of unattributed Latin comic and tragic fragments, including works of unknown authorship from the palliatae, atellanae, togatae, and other dramatic genres.",40,common,medium,This is a collective designation for anonymous dramatic fragments. The label does not represent a real individual or group.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,4,2502,Tragoediae Poetarum Incertorum | Palliatae Poetarum Incertorum | Atellanae Poetarum Incertorum | Togatae Poetarum Incertorum
phi2335,lat,phi2335,Anonymi de Differentiis,Anonymi de Differentiis,anonymous_label,not_applicable,late antique,4th–6th century CE,Roman Empire,Latin grammatical tradition,"The 'Anonymi de Differentiis' is a label for an anonymous grammatical treatise on word differences (De Differentiis). The work is of uncertain authorship, likely compiled by an unknown scholar in late antiquity.",15,specialist,medium,The heading 'Anonymi de Differentiis' is a modern cataloging label for an anonymous work; no specific author is known.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,3013,De Differentiis
phi9500,lat,phi9500,Anonymi Epici et Lyrici,Anonymi Epici et Lyrici,anonymous_label,not_applicable,various,3rd century BCE – 4th century CE,Italy,Roman Republic / Imperial,"A collective label for numerous anonymous fragments of epic and lyric verse, including carmina popularia, epigrams, and ritual verses, often preserved in antiquarian sources.",30,common,low,Label covers many disparate anonymous items; individual provenance often uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,41,2433,epigrammata et populares versus in Augustum | versus reciproci | versus fortasse Enniani | versus in Caesares Romanos ex Historia Augusta | versus aevi Augustei | carmina Marciana et similia | carmen Saliare | epigramma Pacuvi
phi1506,lat,phi1506,Anonymi Fragmenta de Iure Fisci,Anonymi Fragmenta de Iure Fisci,anonymous_label,not_applicable,Late Roman Empire,4th–5th centuries CE,Rome,Roman law,"Anonymous fragments on fiscal law, preserved in a legal compilation.",15,obscure,low,"Anonymous text, author unknown.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,796,fragmenta de iure fisci
phi9510,lat,phi9510,Anonymi Grammatici,Anonymi Grammatici,anonymous_label,not_applicable,Unknown (likely Imperial period),fl. incert.,Unknown,Latin grammatical tradition,"Anonymi Grammatici designates anonymous grammatical fragments of uncertain provenance. These texts represent the work of unknown Latin grammarians, preserved as occasional citations or short treatises.",5,obscure,low,Catch-all heading for anonymous grammatical materials; attribution and date are unknown.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,126,grammatica
phi0905,lat,phi0905,M. Antistius Labeo,Marcus Antistius Labeo,person,historical,early imperial,c. 54 BCE–10/11 CE,Roman Empire (Italy),Roman jurisprudence,"Marcus Antistius Labeo was a prominent Roman jurist of the Augustan age, known for his legal writings and his opposition to the jurist Ateius Capito. His works survive only in fragments, but he was highly influential in Roman law.",40,major,high,Well-attested in legal sources; dates are approximate but well-established.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,309,"iurisprudentia, fragmenta"
phi0302,lat,phi0302,M. Antonius,"Antonius, Marcus (orator)",person,historical,Late Republican,143–87 BCE,Rome,Roman,"Marcus Antonius (the orator) was a leading Roman statesman and orator of the late Republic, grandfather of the triumvir. His speeches survive in fragments and were highly praised by Cicero.",35,major,high,Distinguished from the triumvir; fragments of speeches preserved.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,17,orationes
phi0721,lat,phi0721,Antonius Panurgus,Antonius Panurgus,person,historical,Late Antiquity?,uncertain (perhaps 4th–5th cent. CE),uncertain,Roman (Late Antique),Antonius Panurgus was a Latin grammarian known only from a fragment of a grammatical work preserved in a medieval manuscript. Nothing is known of his life.,3,obscure,low,Extremely obscure; a single grammatical fragment attributed to him.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,81,"grammatica, fragmentum"
phi0408,lat,phi0408,M. Antonius triumvir r. p. c.,"Antonius, Marcus (triumvir)",person,historical,Late Republican,83–30 BCE,Rome/Egypt,Roman,"Marcus Antonius, the triumvir, was a Roman general and politician, a key figure in the end of the Republic. His speeches, only fragmentarily preserved, reflect his political and oratorical activity.",50,major,high,Fragments of orations survive; historical figure of major political importance.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,86,orationes
phi0692,lat,phi0692,Appendix Vergiliana,Appendix Vergiliana,work_title,not_applicable,Augustan / Early Imperial,1st c. BCE – 1st c. CE,Rome,Roman,"A collection of poems transmitted under Vergil's name but of uncertain authorship. Includes works of varying date and quality, likely by multiple poets.",60,common,medium,Used as a corpus heading for poems possibly by or attributed to Vergil.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,14,16114,Ciris | Culex | Priapea | Copa | Priapeum 'Quid Hoc Novi Est?' | Aetna | Catalepton | Dirae
phi0410,lat,phi0410,Aprissius (?),Aprissius,ambiguous,uncertain,unknown,,,Roman,Obscure figure cited for a single fragment; it is unclear whether Aprissius is a person or a textual ghost.,1,obscure,low,The author name is uncertain (marked with '?'); may not refer to a historical person.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,10,frg.
phi1212,lat,urn:cts:latinLit:phi1212,Apuleius,"Apuleius, Lucius",person,historical,2nd century CE,c. 125-180 CE,Roman Africa (Madauros),"Roman Empire, Second Sophistic, Platonism","Apuleius (c. 125–180 CE) was a Roman philosopher and novelist from North Africa, best known for the Metamorphoses (The Golden Ass), as well as rhetorical and philosophical works.",90,canonical,high,Extensive surviving corpus.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,10,109253,"Metamorphoses | Apologia | Florida | De Deo Socratis | De Platone et Eius Dogmate | De Mundo | fragmenta | De Deo Socratis, Praef. sp."
phi0005,lat,phi0005,Aquilius,Aquilius,person,historical,2nd–1st century BCE,fl. ca. 100 BCE,Rome,Latin comedy (palliata),"Aquilius was a Roman comic playwright of the late 2nd to early 1st century BCE, known for writing fabulae palliatae. Only fragments of his work survive, preserving limited evidence of his style.",10,obscure,low,Fragments only; date and identity are uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,68,"palliata, fragmenta"
phi0412,lat,phi0412,C. Aquilius Gallus,"Aquilius Gallus, Gaius",person,historical,Late Republic (1st century BCE),fl. ca. 70–40 BCE,Rome,Roman jurisprudence (iurisprudentia),"Gaius Aquilius Gallus was a Roman jurist of the late Republic, a colleague of Cicero and a follower of the Scaevolan legal school. He wrote on civil law and is cited for his opinions on legal formulas, but only tiny fragments of his works survive.",25,specialist,medium,Fragmentary only; known through legal sources.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,5,"iurisprudentia, fragmenta"
phi0703,lat,phi0703,Arbonius Silo,Arbonius Silo,person,historical,early imperial,1st century CE,Roman Empire,Latin poetry,"Arbonius Silo was a Latin poet, known only from a single surviving fragment of a poem (carmen). His life and works are otherwise unattested.",3,obscure,low,Known only from a brief fragment; biographical details are entirely unknown.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,13,carmen
phi3211,lat,phi3211,Argumenta Aeneidis et Tetrasticha in cunctis libris Vergilii,Argumenta Aeneidis et Tetrasticha in cunctis libris Vergilii,work_title,not_applicable,late antique,4th–6th century CE,Roman Empire,Latin grammatical and commentary tradition,"This heading refers to a collection of anonymous summaries (argumenta) and tetrasticha (four-line poems) on Vergil's works, including the Aeneid, Bucolics, and Georgics. The works are of uncertain authorship, likely compiled by a late antique scholar.",15,specialist,medium,The heading is a modern cataloging label for a set of anonymous works; no specific author is known.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,4,1363,"Argumenta Aeneidis, Decasticha | Tetrasticha in Vergilii Bucolica et Georgica | Tetrasticha in Vergilii Aeneida | Argumenta Aeneidis, Monosticha"
phi0414,lat,phi0414,L. Arruntius,"Arruntius, Lucius",person,historical,1st century BCE,unknown – 22 CE?,Italy,Roman Imperial,"A Roman historian, known for a work on the First Punic War, surviving only in a brief fragment.",15,obscure,low,41 words survive; date uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,41,Historiae Belli Punici
phi0824,lat,phi0824,Cn. Arulenus Caelius Sabinus,Gnaeus Arulenus Caelius Sabinus,person,historical,Imperial (1st–2nd century CE),late 1st–early 2nd century CE,Rome,Roman Empire,Roman jurist active under Domitian and Trajan; fragments of his legal writings are preserved in the Digest.,35,specialist,medium,Served as consul and was a notable legal authority. His works survive only in fragments.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,124,"iurisprudentia, fragmenta"
phi0803,lat,phi0803,Q. Asconius Pedianus,"Asconius Pedianus, Quintus",person,historical,1st century CE,fl. 1st century CE,Rome,Roman Empire,Q. Asconius Pedianus (fl. 1st century CE) was a Roman grammarian and commentator on Cicero's orations; his commentaries survive partially.,75,major,high,Surviving commentaries on five Cicero speeches.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,5,17142,Pro Milone | In Senatu Contra L. Pisonem | Pro Cornelio | Pro Scauro | In Toga Candida
phi0878,lat,phi0878,C. Asinius Gallus,"Asinius Gallus, C.",person,historical,1st century BCE–1st century CE,c. 40 BCE – after 30 CE,Rome,Roman,"Roman senator, orator, and minor poet; son of Asinius Pollio. His works are lost except for fragments.",25,specialist,medium,Fragments attributed to him are few and debated.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,2,82,grammatica | carmen
phi0981,lat,phi0981,C. Asinius Pollio,C. Asinius Pollio,person,historical,Late Republic / Early Imperial,75 BC – AD 4,Rome,Roman,"Gaius Asinius Pollio was a Roman politician, orator, historian, and patron of literature; he founded the first public library in Rome.",60,major,high,Well-attested historical figure.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,4,370,historiae | orationes | grammatica | carmina
phi0806,lat,phi0806,C. Ateius Capito,"Ateius Capito, Gaius",person,historical,Augustan–Tiberian (late 1st century BCE–early 1st century CE),ca. 30 BCE–22 CE,Rome,Roman jurisprudence (iurisprudentia),"C. Ateius Capito was a prominent Roman jurist of the Augustan and Tiberian periods. A follower of the legal school of A. Cascellius, he wrote extensive works on pontifical law and civil law, cited by later jurists including Justinian's compilers.",45,common,high,Well-attested figure; fragments of his legal writings preserved in later digests.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,572,iurisprudentia
phi0416,lat,phi0416,L. Ateius Praetextatus,Lucius Ateius Praetextatus,person,historical,Late Republican / Augustan,1st century BCE,Rome,Roman Republic / Empire,Roman grammarian known as a teacher and scholar; fragments of his grammatical works survive.,20,specialist,medium,Often called Ateius Praetextatus; his works are cited by later grammarians.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,31,grammatica
phi0007,lat,phi0007,Atilius,Atilius,person,historical,Roman Republic,2nd century BCE,Rome,Latin comedy,"Atilius was a Roman comic poet, known only from fragments of his palliatae, likely active in the 2nd century BCE.",5,obscure,low,Extremely fragmentary; almost nothing is known.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,25,palliatae
phi0908,lat,phi0908,Attius Labeo,Attius Labeo,person,historical,Early Imperial,1st century CE,Rome,Roman,Roman translator of Homer’s Iliad into Latin; known only from a few fragments and a satirical comment by Persius.,5,obscure,low,Fragments; identity and work known from Persius and later scholia.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,5,versio Latina Iliados
phi0809,lat,phi0809,Aufidius Bassus,Aufidius Bassus,person,historical,early imperial,1st century CE,Roman Empire,Latin historiography,"Aufidius Bassus was a Roman historian, known for his historical works (historiae). He is cited by later authors like Seneca the Elder, but his life and works survive only in fragments.",10,obscure,low,Survives only in fragments; dates and biography are uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,99,historiae
phi0420,lat,phi0420,P. Aufidius Namusa,Publius Aufidius Namusa,person,historical,Republican (1st century BCE),1st century BCE,Rome,Roman Republic,"Roman jurist, a pupil of Servius Sulpicius Rufus; a fragment of his legal writings survives.",15,obscure,low,Mentioned in Digest sources; his work is known only through quotations.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,12,iurisprudentia
phi0401,lat,phi0401,Aufustius,Aufustius,person,historical,1st century BCE,fl. ca. 50 BCE,Rome,"Latin literature, grammatical tradition","Aufustius was a Roman grammarian of the 1st century BCE, known only through fragments of grammatical and possibly antiquarian works. His contributions to Latin linguistic scholarship are attested by later compilers.",8,obscure,low,Only fragmentary evidence survives; identity and dates are reconstructed from late testimonia.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,25,"grammatica, fragmenta"
phi1221,lat,urn:cts:latinLit:phi1221,Augustus Emperor of Rome 63 B.C.-14 A.D.,Augustus,person,historical,Roman Empire (Augustan),63 BCE – 14 CE,Rome,Imperial literature and administration,"Augustus was the first Roman emperor, a prolific writer whose works include the Res Gestae, letters, edicts, and poems, surviving in fragments.",85,canonical,high,Well-documented historical figure; literary corpus fragmentary but significant.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,8,5845,Res Gestae | opera historica | epistulae | dicta et apophthegmata | edicta | carmina | fragmenta incertae sedis | oratio
phi0836,lat,urn:cts:latinLit:phi0836,Aulus Cornelius Celsus,Aulus Cornelius Celsus,person,historical,Early Imperial (Augustan–Tiberian),c. 25 BCE–c. 50 CE,Rome,Roman,"Aulus Cornelius Celsus was a Roman encyclopedist, best known for his medical treatise De Medicina, which is a major source for ancient medical knowledge. He also wrote on agriculture, rhetoric, and military science, though only the medical work survives substantially.",80,canonical,high,"Well-attested historical author; De Medicina is a substantial surviving work, other parts fragmentary.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,3,107502,De Medicina | De Agricultura | De Rhetorica
phi1254,lat,urn:cts:latinLit:phi1254,Aulus Gellius,Aulus Gellius,person,historical,Antonine period,2nd century CE,Rome,Latin literature,"Roman author and grammarian, known for his miscellany Noctes Atticae.",80,major,high,Well-attested author.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,128305,Noctes Atticae
phi1224,lat,phi1224,M. Aurelius,"Aurelius, Marcus",person,historical,2nd century CE,121-180 CE,Rome,"Roman Empire, Stoicism","M. Aurelius (121–180 CE) was Roman emperor and Stoic philosopher; a short Latin poem is attributed to him, though its authenticity is uncertain.",50,common,low,Attribution to Marcus Aurelius uncertain; possibly spurious.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,4,carmen
phi2468,lat,phi2468,Aurelius Augustinus,"Augustinus, Aurelius",person,historical,Late Antiquity (4th–5th century CE),354–430 CE,Roman North Africa (Hippo Regius),"Christian Latin literature, theology (Laus Cerei)","Aurelius Augustinus (Augustine of Hippo) was a Latin Christian bishop, theologian, and philosopher, one of the most influential figures in Western Christianity. The brief Laus Cerei (Praise of the Candle) is a poetic or liturgical piece attributed to him, though its authenticity is debated.",98,canonical,high,The Laus Cerei is a minor work; Augustine's vast corpus is well-attested. Attribution of this piece is uncertain but included in the canon.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,29,Laus Cerei
phi2302,lat,phi2302,L. Aurelius Avianius Symmachus,"Symmachus, L. Aurelius Avianius",person,historical,Late Antiquity,4th century CE,Rome,Roman,Late Roman senator and poet; father of the orator Q. Aurelius Symmachus; known from a few fragments of verse.,10,specialist,medium,Minimal surviving poetry; information from family relations and later sources.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,202,carmina
phi0498,lat,phi0498,C. Aurelius Cotta,"Aurelius Cotta, Gaius",person,historical,late 2nd – early 1st century BCE,c. 124–73 BCE,Rome,Roman Republican,"Roman statesman and orator, a leading figure in the generation before Cicero. Elevated to the consulship in 75 BCE. Fragments of his speeches survive.",30,specialist,high,Attested as a historical figure; known mainly through Cicero's references and surviving oratorical fragments.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,16,oratio
phi2301,lat,phi2301,Q. Aurelius Memmius Symmachus,"Symmachus, Quintus Aurelius Memmius",person,historical,late 4th – early 5th century CE,c. 350–402 CE,Rome,Late Roman,"Roman senator and orator, proconsul of Africa; a few of his poems survive, and he was the father-in-law of Boethius.",20,specialist,high,Historical figure; his poetry is minor but distinct.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,150,carmina
phi0303,lat,phi0303,Aurelius Opillus,Aurelius Opillus,person,historical,Roman Republic,1st century BCE,Rome,Latin grammar,"Aurelius Opillus was a Roman grammarian, known from a few fragments of his grammatical work.",10,obscure,low,Very fragmentary; little is known.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,78,grammatica
phi1227,lat,phi1227,Balbus,Balbus,person,uncertain,1st c. CE?,fl. uncertain,Italy,Roman,An obscure technical writer known for a work on forms and enumeration (Expos. et Ratio Omn. Formarum). His identity is unclear; possibly a surveyor or rhetorician. The text survives only in fragments.,5,obscure,low,"The author is known only from rare citations. 'Balbus' is a common Roman cognomen, making secure identification impossible.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,2420,Expos. et Ratio Omn. Formarum
phi0426,lat,phi0426,Bellum Africum,Bellum Africum,work_title,not_applicable,1st century BCE,written ca. 45–40 BCE,Roman Republic (North Africa campaign),"Latin historical literature, Caesarian corpus","The Bellum Africum is a Latin historical work recounting Julius Caesar's campaign in Africa (47–46 BCE). It is part of the 'Caesarian corpus' of military commentaries, but the author is unknown (likely a subordinate officer). The work is written in a plain, military style.",45,common,high,The author is not named; the title functions as the author heading.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,14107,Bellum Africum
phi0428,lat,phi0428,Bellum Alexandrinum,Bellum Alexandrinum,work_title,not_applicable,1st century BCE,47 BCE – 30 BCE,Italy,Roman Republic,"A Latin historical work, part of the Corpus Caesarianum, detailing the Alexandrian War. The author is unknown, possibly Hirtius or another officer of Caesar.",45,major,high,Standard attribution as a work title; authorship debated.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,11207,Bellum Alexandrinum
phi0430,lat,phi0430,Bellum Hispaniense,Bellum Hispaniense,work_title,not_applicable,Late Republic,c. 45 BCE,Hispania,Roman,An anonymous account of the final campaign of the Caesarian civil war in Spain; preserved as part of the Corpus Caesarianum.,25,specialist,medium,Attributed as a work title; author unknown. Part of the Corpus Caesarianum.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,6706,Bellum Hispaniense
