author_id,author_language,author_display_name,author_canonical_name,author_agent_kind,author_historicity_status,author_period,author_date_range,author_region,author_cultural_context,author_bio,author_prominence_score,author_prominence_tier,author_confidence,author_notes,author_generator_models,author_generator_run_id,work_count,word_count,representative_titles
langnet:reader:author:san:appayadiksita,san,Appayadīkṣita,Appayadīkṣita,person,historical,early modern,c. 1520–1593 CE,South India,Advaita Vedanta and literary criticism,"Appayadīkṣita was a prolific scholar and poet in Sanskrit, known for his works on Advaita Vedanta, poetics, and devotional poetry. His Vairāgyaśatakam is a collection of verses on renunciation, reflecting his philosophical depth.",70,major,high,Well-attested historical figure with numerous extant works. The Vairāgyaśatakam is often compared with the Bhartṛhari collection.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,3021,Vairāgyaśatakam
langnet:reader:author:san:asanga,san,Asaṅga,Asaṅga,person,historical,4th–5th century,ca. 350–425,South Asia (Gandhāra/Purushapura),"Indian Buddhist Mahāyāna, Yogācāra tradition","Founder of the Yogācāra school of Buddhist philosophy, brother of Vasubandhu; prolific author of foundational treatises including the Mahāyānasūtrālaṃkāra and Abhidharmasamuccaya.",92,canonical,high,Well-attested in Buddhist canonical sources; traditional biography includes visionary elements but core historicity is secure.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,10,177775,Śrāvakabhūmi | Mahāyānasūtrālaṃkāra | Abhidharmasamuccaya | Śarīrārthagāthā | Triśatikāyāḥ prajñāpāramitāyāḥ kārikāsaptatiḥ
langnet:reader:author:san:astasahasrika,san,Aṣṭasāhasrikā,Aṣṭasāhasrikā Prajñāpāramitā,work_title,not_applicable,early Mahāyāna,c. 1st century BCE–1st century CE,South Asia,Buddhist,"The Aṣṭasāhasrikā Prajñāpāramitā ('Perfection of Wisdom in Eight Thousand Lines') is a foundational Mahāyāna sūtra, traditionally considered a revealed text rather than the work of a named human author. It introduced key concepts such as śūnyatā and the bodhisattva path.",90,canonical,high,The text stands as its own attributed 'author' in scholarly catalogs due to the absence of a named human author; it is a canonical sūtra.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,94962,Aṣṭasāhasrikā Prajñāpāramitā
langnet:reader:author:san:asvaghosa,san,Aśvaghoṣa,Aśvaghoṣa,person,historical,1st–2nd century CE,c. 80–150,Northern India (possibly Śāketa/Ayodhyā or Sārnath),Buddhist Sanskrit literature (Mahāyāna and Sarvāstivāda),"Aśvaghoṣa was a Buddhist philosopher, poet, and playwright, regarded as one of the greatest Sanskrit literary figures. He authored the Buddhacarita (life of the Buddha), Saundarānanda (a poem on Nanda's conversion), and other works that blend Buddhist doctrine with high literary artistry.",95,canonical,high,"Well-attested historical figure, often considered the founder of Sanskrit kāvya literature in a Buddhist context.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,6,27510,Buddhacarita | Saundarānanda | Vajrasūcī | Gurupañcāśikā
langnet:reader:author:san:avadhutasiddha,san,Avadhūtasiddha,Avadhūtasiddha,person,legendary,uncertain (likely medieval),c. 1200–1500 CE?,India,"Tantric / Nātha yogic tradition, possibly Bengal or Eastern India","Avadhūtasiddha is a name associated with a tantric yogin and author of the *Bhagavadbhaktistotra*, a devotional hymn blending Śaiva and Vaiṣṇava elements. The name 'Avadhūtasiddha' suggests an accomplished (siddha) ascetic (avadhūta), and the figure may be semi-legendary, with hagiographical traditions rather than clear historical records.",30,specialist,medium,Limited attestation; 'Avadhūtasiddha' is likely a title or epithet rather than a personal name. Historical details are sparse.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,2965,Bhagavadbhaktistotra
langnet:reader:author:san:adisesa,san,Ādiśeṣa,Ādiśeṣa,person,mythic,mythic,not applicable,South Asia,Hindu mythology and philosophy,"Ādiśeṣa is the cosmic serpent in Hindu mythology, often depicted as the couch of Viṣṇu. The Paramārthasāra, attributed to him, is a philosophical text, but the attribution is purely mythological and symbolic.",10,obscure,low,"The attribution of the Paramārthasāra to Ādiśeṣa is a literary convention, not a historical claim. The work is likely a late composition placed in the mouth of the divine serpent.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,2783,Paramārthasāra
langnet:reader:author:san:adyanatha,san,Ādyanātha,Ādyanātha,person,legendary,medieval,c. 11th–12th century CE,South Asia,Tantric and Nath tradition,"Ādyanātha is a legendary figure in the Nath tradition, often regarded as an early teacher or siddha. The authorship of the Anuttaraprakāśapañcāśikā is attributed to him, though historical details are inseparable from hagiography.",30,specialist,low,Attribution to Ādyanātha is traditional; the work belongs to the Nath corpus and may be a compilation from different hands.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,1501,Anuttaraprakāśapañcāśikā
langnet:reader:author:san:anandabhatta,san,Ānandabhaṭṭa,Ānandabhaṭṭa,person,historical,ca. 12th–13th century,ca. 1100–1250,South Asia (Bengal),Indian Sanskrit kāvya and history,"Sanskrit poet and historian, author of the Vallālacarita, a biographical poem about the Sena king Vallālasena.",35,specialist,medium,Known mainly from his single extant work; details of life uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,27318,Vallālacarita
langnet:reader:author:san:aryadeva,san,Āryadeva,Āryadeva,person,historical,early medieval,c. 3rd century CE,South Asia,Madhyamaka Buddhism,"Āryadeva was a Buddhist philosopher of the Madhyamaka school and a disciple of Nāgārjuna. His works include the Caryāmelāvaṇapradīpa, a manual on monastic conduct and yogic practice, as well as the Catuḥśataka, a key Madhyamaka text.",80,canonical,medium,Attribution of the Caryāmelāvaṇapradīpa to Āryadeva is debated; it may be a later Tibetan compilation. The two works recorded may represent distinct authors with the same name.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,6036,Caryāmelāvaṇapradīpa
langnet:reader:author:san:aryasura,san,Āryaśūra,Āryaśūra,person,historical,early medieval,c. 4th–5th century CE,Indian subcontinent (possibly Kashmir or Gandhāra),"Buddhist Sanskrit literature, jātaka genre","Āryaśūra is a celebrated Buddhist poet and monk known for his *Jātakamālā*, a collection of verses and narratives on the Buddha's previous births. His work blends narrative sophistication with devotional fervor and is a landmark in classical Sanskrit kāvya.",82,major,high,Attested in Tibetan and Chinese Buddhist sources as a teacher and poet. The *Jātakamālā* was widely translated and influenced later Buddhist literature.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,100025,Jātakamālā | Pāramitāsamāsa
langnet:reader:author:san:isvarakrsna,san,Īśvarakṛṣṇa,Īśvarakṛṣṇa,person,historical,early classical,c. 4th–5th century CE,Indian subcontinent,Sāṃkhya philosophical school,"Īśvarakṛṣṇa is the author of the *Sāṃkhyakārikā*, the definitive foundational text of the Sāṃkhya school of Indian philosophy. Composed in 72 kārikās, it systematically expounds dualistic realism and influenced later commentaries such as the *Sāṃkhyatattvakaumudī*.",75,major,high,"Little is known of Īśvarakṛṣṇa beyond his text, but the *Sāṃkhyakārikā* is securely attributed and widely commented upon. He is distinct from the earlier Sāṃkhya teacher Vārsaganya.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,737,Sāṃkhyakārikā
langnet:reader:author:san:uddanda-sastri,san,Uddaṇḍa Śāstrī,Uddaṇḍa Śāstrī,person,historical,medieval,16th–17th century,South India,"Sanskrit literature, court poet","Uddaṇḍa Śāstrī was a Sanskrit poet and scholar from South India, best known for his poetic message-poem Kokilasaṃdeśa. He flourished in the Vijayanagara period.",25,specialist,medium,Attested by internal evidence; limited biographical data.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,2652,Kokilasaṃdeśa
langnet:reader:author:san:unknown,san,Unknown,Unknown,anonymous_label,not_applicable,various,c. 1500 BCE–1500 CE,South Asia,multiple,"This grouping covers texts transmitted anonymously or without a known author. It includes foundational Vedic collections (Ṛgveda, Maitrāyaṇī Saṃhitā, etc.), Upaniṣads, and Dharmaśāstra works such as Manusmṛti. These works reflect the cumulative efforts of multiple hands across centuries.",100,canonical,high,'Unknown' is used as an anonymous label for a large corpus of texts where no single author can be identified. Preference is given to this label over 'tradition' because the works are not attributed to any single named tradition in a consistent way.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,567,16098486,Ṛgveda | Maitrāyaṇīsaṃhitā | Manusmṛti | Chāndogyopaniṣad | Bṛhadāraṇyakopaniṣad | ChUp-Olivelle | Śatapathabrāhmaṇa | Taittirīyasaṃhitā
langnet:reader:author:san:utpaladeva,san,Utpaladeva,Utpaladeva,person,historical,early medieval,c. 10th century CE,Kashmir,"Kashmir Śaivism, Pratyabhijñā school","Utpaladeva was a Kashmiri philosopher and poet, a key figure in the Pratyabhijñā (Recognition) school of non-dual Śaivism. He authored the *Īśvarapratyabhijñākārikā* and the devotional *Śivastotrāvali*, blending rigorous theology with lyrical devotion.",70,specialist,high,Securely historical within the Kashmir Śaiva lineage. His works are central to the Pratyabhijñā corpus.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,14685,Śivastotrāvali
langnet:reader:author:san:kalhana,san,Kalhaṇa,Kalhaṇa,person,historical,medieval,c. 12th century CE,Kashmir,Hinduism,"Kalhaṇa was a Kashmiri Brahmin and poet, best known for his historical chronicle Rājataraṅgiṇī, and also credited with the Ardhanarīśvarastotra, a hymn to the androgynous form of Śiva.",65,common,high,Well-documented as the author of the Rājataraṅgiṇī; the Ardhanarīśvarastotra attribution is plausible.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,1078,Ardhanarīśvarastotra
langnet:reader:author:san:kalidasa,san,Kālidāsa,Kālidāsa,person,historical,classical,c. 4th–5th century,North India (Ujjain region),Sanskrit court poetry and drama,"Kālidāsa is the foremost poet and dramatist of classical Sanskrit, author of epics Raghuvaṃśa and Kumārasaṃbhava, the lyric Meghadūta, and plays such as Abhijñānaśākuntala. His work epitomizes the Gupta period.",100,canonical,high,Firmly historical; exact dates debated but generally assigned to Gupta era.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,62391,Raghuvaṃśa | Kumārasaṃbhava | Meghadūta
langnet:reader:author:san:kamalasila,san,Kamalaśīla,Kamalaśīla,person,historical,8th century,ca. 740–795,South Asia (Kashmir/Tibet),Indian Buddhist Madhyamaka,"Indian Buddhist philosopher, disciple of Śāntarakṣita, key figure in the early transmission of Buddhism to Tibet; author of Madhyamakāloka and other works on Madhyamaka.",80,major,high,Historical figure documented in Tibetan and Sanskrit sources; well-established chronology.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,74570,Madhyamakāloka
langnet:reader:author:san:kambalapada,san,Kambalapāda,Kambalapāda,person,traditional,Early medieval,c. 600–800 CE,Indian subcontinent,"Buddhist tantric tradition, possibly associated with the Yogācāra school","Kambalapāda is traditionally regarded as a Buddhist tantric master and philosopher, known for authorship of the Navaślokī, a concise text on Buddhist doctrine. His historicity is largely derived from traditional sources and hagiographical accounts.",35,specialist,medium,Attribution is traditional; independent historical verification is limited. The name may also appear in Tibetan Buddhist sources.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,417,Navaślokī
langnet:reader:author:san:kapila,san,Kapila,Kapila,person,legendary,ancient,c. 6th–5th century BCE (traditional),South Asia,Sāṃkhya philosophy,"Kapila is the legendary founder of the Sāṃkhya school of Hindu philosophy, traditionally credited with the Sāṃkhyasūtra. His historicity is uncertain, but he is a central figure in the philosophical tradition.",80,major,low,Traditional attribution; the Sāṃkhyasūtra is likely a later composition.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,7408,Sāṃkhyasūtra
langnet:reader:author:san:kautilya,san,Kauṭilya,Kauṭilya,person,historical,ancient,c. 4th–3rd century BCE (traditional: c. 350–275 BCE),Magadha (eastern Indian subcontinent),"Maurya Empire, ancient Indian political theory","Kauṭilya, also known as Cāṇakya or Viṣṇugupta, is the traditionally credited author of the Arthaśāstra, a foundational treatise on statecraft, economics, and military strategy.",95,canonical,high,Historical reality debated in detail but widely accepted as a key figure in Mauryan administration. Some scholars propose multiple layers of composition.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,27779,Arthaśāstra
langnet:reader:author:san:kavirajayati,san,Kavirājayati,Kavirājayati,person,historical,late medieval,c. 14th–15th century CE,South Asia,"Sanskrit philosophy, Sāṃkhya","Kavirājayati is a minor Sanskrit author known for the Sāṃkhyatattvapradīpa, a commentary on Sāṃkhya philosophy. Details of his life are obscure.",30,obscure,low,Very little is known; the name suggests a title (Kaviraj) and may not be a personal name.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,7652,Sāṃkhyatattvapradīpa
langnet:reader:author:san:kedarabhatta,san,Kedārabhaṭṭa,Kedārabhaṭṭa,person,historical,medieval,c. 13th–14th century CE,"Bengal or Mithila, Indian subcontinent",Sanskrit metrics and poetics,"Kedārabhaṭṭa is the author of the Vṛttaratnākara, a celebrated Sanskrit prosody manual that systematically classifies meters. It remains a standard reference for Sanskrit poetry.",75,canonical,high,Often cited by name in metrical treatises. The Vṛttaratnākara is widely used in traditional learning contexts.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,4251,Vṛttaratnākara
langnet:reader:author:san:kesava,san,Keśava,Keśava,person,historical,13th–14th century,c. 1200–1350,Kashmir,Hindu ritual (Kauśika Sūtra tradition) and Sāṃkhya philosophy,"Keśava was a Sanskrit scholar active in Kashmir, known for his commentary on the Kauśikasūtra (a ritual text) and for the Sāṃkhyatattvapradīpikā, a work on Sāṃkhya philosophy. His writings reflect the integration of ritual practice and philosophical inquiry.",55,specialist,medium,The name Keśava is relatively common; authorship attributions rely on textual and regional associations without extensive biographical evidence.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,130437,Kauśikasūtrapaddhati | Sāṃkhyatattvapradīpikā
langnet:reader:author:san:krsnadasa,san,Kṛṣṇadāsa,Kṛṣṇadāsa,person,uncertain,early modern,c. 16th–17th century CE,South Asia,Bhakti and tantric traditions,"Kṛṣṇadāsa is known for the Bhāvanāsārasaṃgraha, a work on devotional meditation. The name is common, making precise identification difficult; he may have been a follower of the Gaudiya or Sahajiya traditions.",30,specialist,medium,Multiple authors named Kṛṣṇadāsa exist. This attribution is based on the available manuscript of the Bhāvanāsārasaṃgraha.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,26229,Bhāvanāsārasaṃgraha
langnet:reader:author:san:ksemaraja,san,Kṣemarāja,Kṣemarāja,person,historical,11th century,c. 1000–1050,Kashmir,Kashmir Śaivism (Trika school),"Kṣemarāja was a disciple of Abhinavagupta and a key exponent of Kashmir Śaivism. His works, including Bodhavilāsa and Bhairavānukaraṇastotra, are important for the study of Śaiva philosophy and devotional poetry.",75,major,high,Historically attested as a direct disciple of Abhinavagupta.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,2732,Bodhavilāsa | Bhairavānukaraṇastotra
langnet:reader:author:san:ksemendra,san,Kṣemendra,Kṣemendra,person,historical,11th century CE,c. 990–1070 CE,Kashmir,"Kashmiri Brahmin, Śaiva and literary polymath","Kṣemendra was a prolific Kashmiri Sanskrit author, poet, and literary theorist of the 11th century. He composed epic summaries, narrative cycles, didactic works, and satires, including the *Bhāratamañjarī* and *Avadānakalpalatā*, showcasing his encyclopedic range and engagement with both high and popular literature.",82,canonical,high,Well-attested historical figure with a large and varied corpus. Multiple works listed reflect his breadth.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,19,220963,Bhāratamañjarī | Sudhanakinnaryavadāna | Avadānakalpalatā | Kalāvilāsa | Darpadalana | Caturvargasaṃgraha | Sumāgadhāvadāna | Sevyasevakopadeśaḥ
langnet:reader:author:san:kulasekhara,san,Kulaśekhara,Kulaśekhara Āḻvār,person,historical,early medieval,c. 9th century CE,Kerala / Tamil region,"Śrīvaiṣṇava bhakti tradition, Āḻvār saints","Kulaśekhara is one of the twelve Āḻvārs, the poet-saints of the Śrīvaiṣṇava tradition. He is credited with the *Mukundamālā*, a Sanskrit hymn of ten verses in praise of Viṣṇu, and also with Tamil works. His hymns express intense devotion and are recited in temples.",62,specialist,high,Kulaśekhara is historically attested in the Āḻvār tradition. The *Mukundamālā* is widely transmitted in Śrīvaiṣṇava circles.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,1956,Mukundamālā
langnet:reader:author:san:gangesa,san,Gāṅgeśa,Gāṅgeśa Upādhyāya,person,historical,late medieval,c. 1320–1400 CE,"Mithila, eastern India","Nyāya school, Navya-Nyāya tradition","Gāṅgeśa Upādhyāya was a Mithila-based philosopher and the founder of the Navya-Nyāya (New Logic) school. His magnum opus, the *Tattvacintāmaṇi*, revolutionized Indian logic and epistemology, introducing rigorous analytical methods that dominated Sanskrit philosophy for centuries.",88,major,high,"Gāṅgeśa is securely historical, with a well-documented lineage. The *Tattvacintāmaṇi* generated an extensive commentarial tradition.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,53897,Tattvacintāmaṇi
langnet:reader:author:san:gaudapada,san,Gauḍapāda,Gauḍapāda,person,historical,early medieval,c. 6th century CE,Indian subcontinent,"Advaita Vedānta, early medieval Indian philosophy","Gauḍapāda is an early medieval Indian philosopher credited with the Gauḍapādīya Kārikā (verses on the Māṇḍūkya Upaniṣad), a foundational text of Advaita Vedānta. His work systematizes non-dualist teachings and influences later thinkers like Śaṅkara.",90,canonical,high,Often identified as the teacher of Śaṅkara's teacher Govinda. Some traditions blur the historical record; direct textual evidence confirms his authorship.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,13395,Āgamaśāstra | Kārikā
langnet:reader:author:san:goraksanatha,san,Gorakṣanātha,Gorakṣanātha,person,legendary,medieval,c. 1100–1300 CE (traditional),South Asia,Nātha yogic tradition,"Gorakṣanātha is a legendary yogi and the traditional founder of the Nātha sect. He is credited with the Gorakṣaśataka, a text on haṭha yoga.",75,major,low,Widely revered in yogic traditions; historical details are unclear and blended with hagiography.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,3081,Gorakṣaśataka
langnet:reader:author:san:govardhana,san,Govardhana,Govardhana,person,historical,Classical,c. 1100–1200,South Asia,Hindu; Sanskrit poetry (śataka genre),"Govardhana is the author of the Āryāsaptaśatī, a collection of śataka (700-verse) poetry in āryā meter, focusing on erotic and courtly themes. His work is part of the bhakti-śṛṅgāra tradition.",50,common,medium,Dates approximate; place and sect uncertain. Some traditions associate him with Bengal or Mithila.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,8061,Āryāsaptaśatī
langnet:reader:author:san:govind-kaul,san,Govind Kaul,Govind Kaul,person,historical,early modern,c. 1600–1700 CE,Kashmir,Kashmiri Śaivism,"Govind Kaul is a Kashmiri Śaiva scholar, author of the Pradeśasaṃgraha, a compendium of esoteric teachings.",40,specialist,medium,Attested in manuscript traditions; limited external biographical evidence.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,22753,Pradeśasaṃgraha
langnet:reader:author:san:candragomin,san,Candragomin,Candragomin,person,historical,early medieval,5th–6th century,Eastern India or Nepal,Buddhist Sanskrit literature and grammar,"Candragomin was a Buddhist monk and Sanskrit grammarian, author of the Śiṣyalekha, a didactic letter, and a commentary on the Kātantra grammar.",40,common,medium,Traditionally associated with Nālandā; limited external confirmation.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,4661,Śiṣyalekha
langnet:reader:author:san:candrakirti,san,Candrakīrti,Candrakīrti,person,historical,7th century CE,c. 600–650 CE,India (likely Nālandā),Buddhist; Madhyamaka school,"Candrakīrti is an eminent Buddhist philosopher and commentator, a key exponent of the Madhyamaka school. His *Prasannapadā* is a celebrated commentary on Nāgārjuna's *Mūlamadhyamakakārikā*, foundational for understanding Buddhist emptiness philosophy.",92,canonical,high,"Well-attested historical figure; the word count here is for a single extant fragment, not the full work.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,186,Prasannapadā
langnet:reader:author:san:caraka,san,Caraka,Caraka,person,historical,ancient,c. 3rd century BCE – 2nd century CE,South Asia,Āyurveda,"Caraka is the traditional author of the Carakasaṃhitā, one of the foundational texts of Āyurveda, covering medicine, diagnosis, and therapeutics.",100,canonical,high,Attribution to Caraka as a redactor/author; the text is a composite of earlier schools.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,54720,Carakasaṃhitā
langnet:reader:author:san:jagannatha,san,Jagannātha,Jagannātha,person,historical,Early Modern,c. 1600–1700,South Asia,Hindu; courtly and devotional poetry; also a grammatician and commentator,"Jagannātha was a Sanskrit poet and scholar, known for the Sudhālaharī (a commentary on the Amaraughaśāsana) and the Prāṇābharaṇaṭippaṇī. His works blend grammatical analysis with literary commentary.",40,specialist,medium,Not to be confused with the better-known Jagannātha Paṇḍitarāja; distinct author with narrower textual footprint.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,6,7073,Sudhālaharī | Prāṇābharaṇaṭippaṇī | Prāṇābharaṇa
langnet:reader:author:san:jaimini,san,Jaimini,Jaimini,person,historical,classical,c. 200 BCE–200 CE,Indian subcontinent,Hinduism,"Jaimini is the foundational sage of the Mīmāṃsā school, credited with composing the Mīmāṃsāsūtra, a seminal text on Vedic ritual exegesis and hermeneutics.",80,major,high,Distinct from the epic figure; works are philosophical and ritual in nature.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,36343,Mīmāṃsāsūtra
langnet:reader:author:san:jalhana,san,Jalhaṇa,Jalhaṇa,person,historical,medieval,c. 1100–1300 CE,South Asia,Sanskrit didactic literature,"Jalhaṇa is a Sanskrit author known for the Mugdhopadeśa, a collection of moral and practical instructions.",40,specialist,medium,Little biographical information survives; the Mugdhopadeśa is his primary work.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,4070,Mugdhopadeśa
