work_id,language,title,author,author_id,source_id,cts_work_urn,work_kind,parent_work_id,start_citation,end_citation,word_count,word_count_method,source_metadata_summary,classification_discovery_group_id,classification_discovery_tags,classification_global_popularity_score,classification_global_popularity_tier,classification_group_popularity_score,classification_group_popularity_tier,classification_category,classification_period,classification_date_range,classification_authorship_status,classification_popularity_score,classification_popularity_tier,classification_scope,classification_scope_popularity_score,classification_scope_popularity_tier,classification_confidence,classification_notes,classification_generator_models,classification_generator_run_id
langnet:reader:phi:lat1209.001,lat,carmina,Annianus,phi1209,lat1209.001,urn:cts:latinLit:phi1209.phi001,work,,,,50,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Annianus; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,fragmentary,3,obscure,2,obscure,Poetry,Imperial,,single_attributed,3,obscure,Other Latin Literature,2,obscure,medium,Annianus's carmina survive only in a few fragments. Little is known about the poet or the original context of these verses; they are of interest mainly to scholars of Imperial Latin poetry.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9505.002,lat,Atellanae Poetarum Incertorum,Anonymi Comici et Tragici,phi9505,lat9505.002,urn:cts:latinLit:phi9505.phi002,work,,,,59,whitespace_tokens,,drama,drama|comedy,2,obscure,5,obscure,Drama,Uncertain,,anonymous,2,obscure,Other Latin Literature,5,obscure,low,"Atellanae of uncertain poets are fragmentary remnants of Italian farce, representing a popular dramatic tradition at Rome.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9505.003,lat,Palliatae Poetarum Incertorum,Anonymi Comici et Tragici,phi9505,lat9505.003,urn:cts:latinLit:phi9505.phi003,work,,,,720,whitespace_tokens,,drama,comedy,5,obscure,5,obscure,Drama,Late Republic,c. 2nd–1st century BCE,anonymous,5,obscure,Latin Drama,5,obscure,medium,The 'Palliatae Poetarum Incertorum' are fragments of Roman comedies (palliatae) by unknown authors. They are of interest to specialists in Republican drama and the history of the comic tradition.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9505.001,lat,Togatae Poetarum Incertorum,Anonymi Comici et Tragici,phi9505,lat9505.001,urn:cts:latinLit:phi9505.phi001,work,,,,10,whitespace_tokens,,drama,drama|comedy,2,obscure,2,obscure,Drama,Late Republic,,anonymous,2,obscure,Latin Drama,2,obscure,low,"This is a fragmentary title from anonymous Roman comedy (togatae). Only 10 words survive, attributed to unidentified poets (poetarum incertorum). The togata was a genre of Roman comedy in native Italian setting. The fragments are too minimal to characterize; the text is extremely obscure.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9505.004,lat,Tragoediae Poetarum Incertorum,Anonymi Comici et Tragici,phi9505,lat9505.004,urn:cts:latinLit:phi9505.phi004,work,,,,1713,whitespace_tokens,,drama,,15,specialist,25,specialist,Drama,Imperial,1st-4th centuries CE,anonymous,15,specialist,Latin Drama,25,specialist,medium,"This collection of anonymous Latin tragedies, Tragoediae Poetarum Incertorum, gathers fragments and unattributed tragic verses. It is a specialist resource for scholars of Roman drama and fragmentary literature.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.004,lat,A. Atilii Calatini elogium,Anonymi Epici et Lyrici,phi9500,lat9500.004,urn:cts:latinLit:phi9500.phi004,work,,,,13,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",inscription,inscription|epic,3,obscure,3,obscure,Inscription,Republican,c. 2nd century BC,anonymous,3,obscure,Latin Inscriptions,3,obscure,medium,"Elogium of A. Atilius Calatinus, an anonymous inscription transmitted in the corpus of anonymous early Latin poetry.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.007,lat,Acilii Glabrionis tabula,Anonymi Epici et Lyrici,phi9500,lat9500.007,urn:cts:latinLit:phi9500.phi007,work,,,,8,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",history,history|inscription,5,obscure,5,obscure,Inscription,Republican,2nd-1st century BCE,anonymous,5,obscure,Latin Inscriptions,5,obscure,medium,The Acilii Glabrionis tabula is a fragmentary inscription of uncertain context. It is of interest to epigraphers and historians of the Roman Republic.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.013,lat,Ardeatis templi inscriptio,Anonymi Epici et Lyrici,phi9500,lat9500.013,urn:cts:latinLit:phi9500.phi013,work,,,,30,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",inscription,inscription|fragmentary,5,obscure,5,obscure,Inscription,Republic,,traditional,5,obscure,Latin Inscriptions,5,obscure,medium,"A 30-word inscription from the temple at Ardea ('Ardeatis templi inscriptio'), preserved in the Morel corpus. It is an obscure epigraphic witness to Roman religious practice, of interest to epigraphers and historians of archaic Latium.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.034,lat,De Metris,Anonymi Epici et Lyrici,phi9500,lat9500.034,urn:cts:latinLit:phi9500.phi034,work,,,,14,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",grammar,grammar,5,obscure,5,obscure,Grammar,Uncertain,Uncertain,anonymous,5,obscure,Latin Grammar,5,obscure,medium,"This short fragment (14 words) on metrical theory is attributed to the anonymous collection of early Latin poets and lyricists. The title 'De Metris' suggests a technical grammatical or metrical treatise. The extreme brevity and uncertain authorship make this a very obscure text, of interest mainly to specialists in early Latin metrics and fragmentary grammatical works.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.033,lat,De Venere et Amoribus,Anonymi Epici et Lyrici,phi9500,lat9500.033,urn:cts:latinLit:phi9500.phi033,work,,,,17,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,,3,obscure,3,obscure,Poetry,Uncertain,Uncertain,anonymous,3,obscure,Other Latin Literature,3,obscure,medium,"This fragment on Venus and Loves, part of the 'Anonymi Epici et Lyrici', is a very brief piece of Latin poetry (17 words). Its theme is erotic, but its authorship and date are uncertain. It is of minimal interest outside specialist study of fragmentary Latin verse.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.008,lat,M. Aemilii cos. a. 179 tabula,Anonymi Epici et Lyrici,phi9500,lat9500.008,urn:cts:latinLit:phi9500.phi008,work,,,,10,whitespace_tokens,,inscription,inscription,2,obscure,1,obscure,Inscription,Republican,2nd century BCE,anonymous,2,obscure,Latin Inscriptions,1,obscure,high,"This fragmentary inscription records the consulship of M. Aemilius in 179 BCE. It survives as a ten-word fragment from the collection of anonymous epic and lyric poets, but it is epigraphic in nature.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.032,lat,Tarentinus senarius,Anonymi Epici et Lyrici,phi9500,lat9500.032,urn:cts:latinLit:phi9500.phi032,work,,,,8,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",drama,drama|fragmentary,5,obscure,5,obscure,Drama,Archaic,3rd-2nd century BCE (?),anonymous,5,obscure,Other Latin Literature,5,obscure,low,"A single verse (Tarentinus senarius) from an anonymous source. It appears to be a dramatic fragment, possibly from a Latin adaptation of Greek comedy, but its provenance is unclear.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.024,lat,artificia metrica,Anonymi Epici et Lyrici,phi9500,lat9500.024,urn:cts:latinLit:phi9500.phi024,work,,,,14,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,poetry,2,obscure,4,obscure,Poetry,Uncertain,,anonymous,2,obscure,Other Latin Literature,4,obscure,low,Anonymous 'artificia metrica' preserved in Morel's anthology are minor metrical exercises or didactic fragments. The origin and purpose are unclear; they are of marginal interest for metrics but contribute to the broader picture of Latin versification as practiced by unknown authors.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.005,lat,carmen Priami,Anonymi Epici et Lyrici,phi9500,lat9500.005,urn:cts:latinLit:phi9500.phi005,work,,,,8,whitespace_tokens,,poetry,poetry|epic,1,obscure,1,obscure,Poetry,Archaic,c. 3rd–2nd century BCE,anonymous,1,obscure,Other Latin Literature,1,obscure,low,"The carmen Priami is a fragmentary Latin poem, possibly of epic or celebratory character, concerning Priam. Only 8 words survive, making it one of the earliest and most fragmentary specimens of Latin poetry, of interest primarily to specialists in archaic Latin literature and textual transmission.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.001,lat,carmen Saliare,Anonymi Epici et Lyrici,phi9500,lat9500.001,urn:cts:latinLit:phi9500.phi001,work,,,,107,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",hymn,hymn|religion,10,specialist,15,specialist,Hymn,Archaic,c. 2nd century BCE,traditional,10,specialist,Latin Religious Literature,15,specialist,high,"The 'carmen Saliare' is a fragmentary archaic Latin hymn of the Salian priests. It is a rare and important witness to early Roman religion and language, of specialist interest to scholars of archaic Latin and Roman ritual.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.016,lat,carmina Marciana et similia,Anonymi Epici et Lyrici,phi9500,lat9500.016,urn:cts:latinLit:phi9500.phi016,work,,,,149,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,epic,10,specialist,15,specialist,Poetry,Uncertain,,anonymous,10,specialist,Other Latin Literature,15,specialist,medium,Anonymous epic and lyric fragments attributed to the collection 'carmina Marciana et similia'. They represent uncertain remnants of early Latin poetry.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.020,lat,de Crassitio epigramma,Anonymi Epici et Lyrici,phi9500,lat9500.020,urn:cts:latinLit:phi9500.phi020,work,,,,26,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,epigram,3,obscure,3,obscure,Poetry,Uncertain,Uncertain,anonymous,3,obscure,Other Latin Literature,3,obscure,medium,"This epigram on Crassitius, a Roman grammarian, is attributed to the anonymous 'Anonymi Epici et Lyrici' collection. Extant in only 26 words, it is a very obscure piece of Latin verse, of interest mainly for the light it sheds on grammatical culture in the late Republic or early Empire.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.012,lat,epigramma Pacuvi,Anonymi Epici et Lyrici,phi9500,lat9500.012,urn:cts:latinLit:phi9500.phi012,work,,,,31,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,epigram,8,obscure,12,specialist,Poetry,Republican,,uncertain,8,obscure,Other Latin Literature,12,specialist,medium,"An epigram attributed to Pacuvius, transmitted among the fragments of Anonymous Epic and Lyric poets. It is a brief poetic text of limited literary significance.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.011,lat,epigramma a Varrone Plauto attributum,Anonymi Epici et Lyrici,phi9500,lat9500.011,urn:cts:latinLit:phi9500.phi011,work,,,,25,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,epigram|fragmentary,5,obscure,5,obscure,Poetry,Republican,,uncertain,5,obscure,Other Latin Literature,5,obscure,low,"This fragmentary epigram, dubiously attributed by Varro to the comic playwright Plautus, survives only in a brief citation (25 words). Its authenticity is uncertain, and its scholarly value lies in its connection to early Latin literary criticism and textual transmission.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.018,lat,epigrammata et populares versus in Augustum,Anonymi Epici et Lyrici,phi9500,lat9500.018,urn:cts:latinLit:phi9500.phi018,work,,,,58,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,epigram,30,specialist,35,specialist,Poetry,Augustan,,traditional,30,specialist,Latin Lyric and Elegiac Poetry,35,specialist,medium,"Anonymous epigrams and popular verses against Augustus, collected from various sources; historically interesting but minor.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.015,lat,in Carbonem versus popularis,Anonymi Epici et Lyrici,phi9500,lat9500.015,urn:cts:latinLit:phi9500.phi015,work,,,,12,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,satire,1,obscure,3,obscure,Poetry,Late Republic,c. 100–50 BCE,anonymous,1,obscure,Latin Satire,3,obscure,high,"A very brief anonymous popular verse (12 words) attacking Carbo, a political figure of the late Republic. It belongs to the tradition of informal political lampoon.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.019,lat,obtrectatoris Vergilii versiculus,Anonymi Epici et Lyrici,phi9500,lat9500.019,urn:cts:latinLit:phi9500.phi019,work,,,,8,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,epigram|fragmentary,5,obscure,5,obscure,Poetry,Imperial,,traditional,5,obscure,Other Latin Literature,5,obscure,low,A single 8-word line from an anonymous detractor of Virgil ('obtrectatoris Vergilii versiculus'). This fragment is a curiosity for scholars of Virgil's reception and the literary controversies of his time.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.028,lat,odarium,Anonymi Epici et Lyrici,phi9500,lat9500.028,urn:cts:latinLit:phi9500.phi028,work,,,,67,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,poetry|hymn,5,obscure,10,specialist,Poetry,Uncertain,Uncertain,anonymous,5,obscure,Latin Lyric and Elegiac Poetry,10,specialist,low,"This 'odarium' is a very brief anonymous fragment, possibly a hymn or lyric poem. Its date and context are uncertain. It is an obscure text, of interest only to specialists in fragmentary Latin poetry.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.023,lat,populares versus in Caligulam,Anonymi Epici et Lyrici,phi9500,lat9500.023,urn:cts:latinLit:phi9500.phi023,work,,,,16,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,satire|fragmentary,1,obscure,1,obscure,Poetry,Early Imperial,,anonymous,1,obscure,Other Latin Literature,1,obscure,low,These anonymous popular verses against Caligula are a rare example of political satire from the early Empire. Their fragmentary state and uncertain authorship limit their significance.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat9500.021,lat,populares versus in Sarmentum,Anonymi Epici et Lyrici,phi9500,lat9500.021,urn:cts:latinLit:phi9500.phi021,work,,,,25,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Anonymi Epici et Lyrici; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,poetry|satire,2,obscure,2,obscure,Poetry,Imperial,c. 1st century CE,anonymous,2,obscure,Other Latin Literature,2,obscure,low,"The 'populares versus in Sarmentum' are a fragment of anonymous Latin verse, possibly satirical in nature, targeting a figure named Sarmentus. With only 25 words surviving, it is a minor relic of popular Latin poetry.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
