work_id,language,title,author,author_id,source_id,cts_work_urn,work_kind,parent_work_id,start_citation,end_citation,word_count,word_count_method,source_metadata_summary,classification_discovery_group_id,classification_discovery_tags,classification_global_popularity_score,classification_global_popularity_tier,classification_group_popularity_score,classification_group_popularity_tier,classification_category,classification_period,classification_date_range,classification_authorship_status,classification_popularity_score,classification_popularity_tier,classification_scope,classification_scope_popularity_score,classification_scope_popularity_tier,classification_confidence,classification_notes,classification_generator_models,classification_generator_run_id
langnet:reader:sanskrit_texts:GRETIL_sa_abhinavagupta-mAlinIzlokavArttika,san,Mālinīślokavārttika,Abhinavagupta,,GRETIL_sa_abhinavagupta-mAlinIzlokavArttika,,work,,,,20319,whitespace_tokens,,philosophy,tantra|shaiva,30,specialist,45,common,Philosophy,Early Medieval,c. 10th–11th century CE,single_attributed,30,specialist,Other Sanskrit Literature,45,common,high,"The Mālinīślokavārttika is a philosophical commentary by Abhinavagupta on the Mālinīvijayottaratantra, a key text of Kashmir Śaivism. It is a specialist work in the wider Sanskrit context but common within Śaiva Tantra studies.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_abhinavagupta-paramArthasAra,san,Paramārthasāra,Abhinavagupta,,corpus_sa_abhinavagupta-paramArthasAra,,work,,,,1763,whitespace_tokens,,philosophy,shaiva|philosophy,60,common,70,major,Philosophy,Medieval,,single_attributed,60,common,Śaiva Tantra,70,major,high,Abhinavagupta's Paramārthasāra is a concise exposition of Śaiva non-dualism. It is a key text in the Pratyabhijñā school and is widely studied in tantric and philosophical contexts.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_abhinavagupta-paramArthasAra,san,Paramārthasāra,Abhinavagupta,,GRETIL_sa_abhinavagupta-paramArthasAra,,work,,,,1540,whitespace_tokens,,philosophy,shaiva,25,specialist,30,specialist,Philosophy,Early Medieval,,single_attributed,25,specialist,Sanskrit Philosophy,30,specialist,high,Abhinavagupta's Paramārthasāra is a concise exposition of non-dual Kashmiri Śaiva philosophy. It distills key doctrines of the Trika system and is valued by scholars of Śaiva theology and Indian philosophy.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_abhinavagupta-paryantapaJcAzikA,san,Paryantapañcāśikā,Abhinavagupta,,corpus_sa_abhinavagupta-paryantapaJcAzikA,,work,,,,790,whitespace_tokens,,philosophy,shaiva|tantra|stotra,30,specialist,40,common,Hymn,Medieval,c. 975–1025 CE,single_attributed,30,specialist,Śaiva Tantra,40,common,high,The Paryantapañcāśikā by the Kashmiri Śaiva philosopher Abhinavagupta is a 790-word hymn (stotra) of fifty verses celebrating the supreme reality as the union of Śiva and Śakti. It is a devotional and theological work deeply embedded in the Pratyabhijñā school. The text is significant within Śaiva Tantra and is studied by specialists in Kashmiri Śaivism and Tantric literature.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_abhinavagupta-paryantapaJcAzikA,san,Paryantapañcāśikā,Abhinavagupta,,GRETIL_sa_abhinavagupta-paryantapaJcAzikA,,work,,,,687,whitespace_tokens,,religion,tantra|shaiva|stotra,15,specialist,20,specialist,Hymn,Early Medieval,c. 900–1000 CE,single_attributed,15,specialist,Śaiva Tantra,20,specialist,high,"Abhinavagupta's Paryantapañcāśikā is a short, fifty-verse hymn (stotra) of the Śaiva Tantric tradition. Composed by the preeminent philosopher and mystic Abhinavagupta, this work is a devotional and meditative text. Its brevity (687 words) and highly specialized theological content make it a specialist text, primarily of interest to scholars of Kashmir Śaivism and Tantric literature. Within the religion discovery group, it is a minor but valued work for specialists.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_parAtriMzikA-comm,san,Parātriṃśikāvivaraṇa,Abhinavagupta,,corpus_sa_parAtriMzikA-comm,,work,,,,25166,whitespace_tokens,,commentary,shaiva|tantra|bhashya,30,specialist,45,common,Commentary,Early Medieval,,single_attributed,30,specialist,Śaiva Tantra,45,common,high,"Abhinavagupta's Parātriṃśikāvivaraṇa is a detailed commentary on the Parātriṃśikā, a core text of Kashmiri Śaiva Tantra. It is essential for advanced study of Śaiva exegesis and Tantric philosophy.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_parAtriMzikA-comm,san,Parātriṃśikāvivaraṇa,Abhinavagupta,,GRETIL_sa_parAtriMzikA-comm,,work,,,,17151,whitespace_tokens,,philosophy,tantra|shaiva|bhashya,38,specialist,50,common,Commentary,Early Medieval,c. 975–1025 CE,single_attributed,38,specialist,Śaiva Tantra,50,common,high,"Abhinavagupta's Parātriṃśikāvivaraṇa is a poignant philosophical commentary on the Parātriṃśikā, a core scripture of the Trika Śaiva tradition. Written by the towering figure of Kashmiri Śaivism, this vivaraṇaprakāśa (expository commentary) elaborates the mantric and metaphysical dimensions of the goddess Parā's thirty syllables, integrating Tantra, aesthetics, and nondual philosophy. It holds a central place within the Śaiva tantric exegetical corpus but commands specialist rather than general interest in the broader Sanskrit corpus, given its dense technicality and tradition-specific doctrinal apparatus.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_dcs:dcs_408,san,Tantrāloka,Abhinavagupta,,dcs_408,,work,,,,22218,whitespace_tokens,dcs_subject=Tantra; dcs_time_slot=medieval; dcs_author=Abhinavagupta; dcs_completed=false,religion,tantra|shaiva,45,common,60,common,Religious Text,Medieval,c. 1000–1100 CE,single_attributed,45,common,Śaiva Tantra,60,common,high,"Abhinavagupta's Tantrāloka is a magnum opus of the Kashmir Śaiva tradition, a comprehensive and sophisticated exposition of Śaiva Tantric philosophy, ritual, and theology. It is a foundational text for the Pratyabhijñā school and is widely studied in the fields of Tantric studies and Indian philosophy. Its length (22218 words) represents a substantial portion of this extensive work.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_advayazatikA-prajJApAramitA,san,Advayaśatikā prajñāpāramitā,Advayaśatikā,,corpus_sa_advayazatikA-prajJApAramitA,,work,,,,463,whitespace_tokens,,religion,buddhist|buddhist_sutra,15,specialist,30,specialist,Religious Text,Early Medieval,c. 8th–10th century CE,single_attributed,15,specialist,Buddhist Scripture,30,specialist,high,"The Advayaśatikā prajñāpāramitā is a short Buddhist sūtra belonging to the Prajñāpāramitā (Perfection of Wisdom) genre. Attributed to Advayaśatikā, this text presents teachings on non-duality (advaya) and emptiness (śūnyatā). It is a concise but theologically significant work within the Mahāyāna Buddhist tradition, of interest to specialists in Buddhist scripture and philosophy.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_L_S-Agnisv_min,san,Lāṭyāyanaśrautasūtrabhāṣya,Agnisvāmin,,corpus_L_S-Agnisv_min,,work,,,,40627,whitespace_tokens,,commentary,shrautasutra|bhashya|kalpa,10,specialist,25,specialist,Commentary,Medieval,c. 9th–13th century CE,single_attributed,10,specialist,Vedic Ritual and Exegesis,25,specialist,medium,"Agnisvāmin's Lāṭyāyanaśrautasūtrabhāṣya is a medieval commentary on the Lāṭyāyanaśrautasūtra, a ritual manual of the Sāmavedic tradition. As a bhāṣya, it provides explanations of the sūtras and elaborates on the ritual procedures. This work is of specialized interest for scholars of Vedic ritual and the medieval commentarial tradition, preserving access to the interpretation of Sāmavedic śrauta rites.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:Srauta_commentaries_L_S-Agnisv_min,san,Lāṭyāyanaśrautasūtrabhāṣya,Agnisvāmin,,Srauta_commentaries_L_S-Agnisv_min,,work,,,,27697,whitespace_tokens,,ritual,vedic|shrautasutra|kalpa,15,specialist,25,specialist,Commentary,Medieval,11th–12th century CE,single_attributed,15,specialist,Vedic Ritual and Exegesis,25,specialist,medium,"The Lāṭyāyanaśrautasūtrabhāṣya by Agnisvāmin (c. 11th–12th century CE) is a 27,697-word commentary on the Lāṭyāyanaśrautasūtra. It explains the Sāmavedic ritual procedures in the brāhmaṇa style. The text is specialist globally and specialist within Vedic ritual exegesis.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_dcs:dcs_382,san,Nyāyasūtra,Akṣapāda Gautama,,dcs_382,,work,,,,1616,whitespace_tokens,dcs_scope_hint=Nyaya; dcs_subject=Nyaya; dcs_time_slot=epic; dcs_author=Gautama; dcs_completed=false,philosophy,nyaya|sutra,55,common,75,major,Philosophy,Epic,c. 200 BCE–200 CE,attributed,55,common,Nyaya,75,major,high,"The Nyāyasūtra, attributed to Akṣapāda Gautama, is the foundational text of the Nyāya school of Hindu philosophy, presenting a system of logic, epistemology, and debate. It is widely studied across the Sanskrit philosophical tradition and constitutes a core source for Indological and philosophical scholarship.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_dcs:dcs_84,san,Amarakośa,Amarasiṃha,,dcs_84,,work,,,,8617,whitespace_tokens,dcs_scope_hint=Sanskrit Lexicography; dcs_subject=Kosha; dcs_time_slot=classical; dcs_author=Amara; dcs_completed=false,lexicography,kosha,55,common,80,major,Lexicography,Classical,,single_attributed,55,common,Sanskrit Lexicography,80,major,high,"Amarasiṃha's Amarakośa is the most celebrated thesaurus in Sanskrit literature. A foundational text for Sanskrit lexicography, it has been used as a standard reference for over a millennium. Its wide and continuous usage among students and scholars of Sanskrit grants it a common global popularity and a major status within its field.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_dcs:dcs_131,san,Amaruśataka,Amaru,,dcs_131,,work,,,,1986,whitespace_tokens,dcs_scope_hint=Sanskrit Kavya; dcs_subject=Kavya; dcs_time_slot=classical; dcs_author=Amaru; dcs_completed=false,poetry,kavya,55,common,70,major,Poetry,Classical,c. 7th–8th century,single_attributed,55,common,Sanskrit Kavya,70,major,high,"Amaruśataka is a celebrated Sanskrit lyric collection of one hundred stanzas attributed to the poet Amaru. It explores love and erotic sentiment (śṛṅgāra rasa) through concise, vivid vignettes. The work holds a common position in the broader Sanskrit corpus and is a major example within the kavya (ornate poetry) tradition, frequently anthologized and commented upon.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_dcs:dcs_409,san,Tarkasaṃgraha,Annambhaṭṭa,,dcs_409,,work,,,,1232,whitespace_tokens,dcs_scope_hint=Nyaya; dcs_subject=Nyaya; dcs_time_slot=late; dcs_author=Annambhaṭṭa; dcs_completed=false,philosophy,nyaya|philosophy,75,major,85,canonical,Philosophy,Early Modern,c. 1600–1700,single_attributed,75,major,Nyaya,85,canonical,high,"Annambhaṭṭa's Tarkasaṃgraha is a concise yet comprehensive introduction to Nyaya philosophy, widely used as a foundational textbook in Indian logic. It systematically presents categories, inference, and epistemology, and remains a standard reference for students of Indian philosophy.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:sadvimsabrahmana_SB,san,Ṣaḍviṃśa Brāhmaṇa,Anonymous,,sadvimsabrahmana_SB,,work,,,,8045,whitespace_tokens,,ritual,vedic|brahmana,30,specialist,45,common,Religious Text,Epic,c. 800–400 BCE,traditional,30,specialist,Vedic Ritual and Exegesis,45,common,high,"The Ṣaḍviṃśa Brāhmaṇa is a Brāhmaṇa text belonging to the Sāmaveda, specifically the Kauthuma school. It is a late Brāhmaṇa, supplementing the Pañcaviṃśa Brāhmaṇa, and contains explanations of Sāmavedic rituals and mythology. It is a significant text for the study of Vedic ritual and Sāmavedic exegesis, of common interest within the specialist field of Vedic studies. Its length (8045 words) is moderate for a Brāhmaṇa.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:sadvimsabrahmana_split,san,Ṣaḍviṃśa Brāhmaṇa,Anonymous,,sadvimsabrahmana_split,,work,,,,8594,whitespace_tokens,,ritual,brahmana|vedic|samaveda,22,specialist,35,specialist,Religious Text,Vedic,ca. 7th–5th century BCE,traditional,22,specialist,Vedic Texts,35,specialist,high,"The Ṣaḍviṃśa Brāhmaṇa is a minor Brāhmaṇa of the Sāmaveda, supplementing the larger Pañcaviṃśa Brāhmaṇa. It provides additional ritual instructions and mythological explanations for Sāmavedic liturgical practice. Of primary interest to specialists in Vedic literature and ritual, its restricted scope and esoteric content keep its readership within a narrow scholarly circle.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_appayadIkSita-vairAgyazatakam,san,Vairāgyaśatakam,Appayadīkṣita,,corpus_sa_appayadIkSita-vairAgyazatakam,,work,,,,1564,whitespace_tokens,,poetry,kavya,75,major,70,major,Poetry,Early Modern,16th century CE,single_attributed,75,major,Sanskrit Kavya,70,major,high,Vairāgyaśatakam ('Century of Dispassion') is a philosophical poem by the renowned polymath Appayadīkṣita. It urges renunciation and reflects the Advaita Vedanta perspective. The work showcases Appayadīkṣita's poetic skill and is valued in the kāvya tradition.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_appayadIkSita-vairAgyazatakam,san,Vairāgyaśatakam,Appayadīkṣita,,GRETIL_sa_appayadIkSita-vairAgyazatakam,,work,,,,1457,whitespace_tokens,,poetry,kavya,35,specialist,42,common,Poetry,Early Modern,c. 1550–1600 CE,single_attributed,35,specialist,Sanskrit Kavya,42,common,high,"Appayadīkṣita's Vairāgyaśatakam is a collection of a hundred verses on dispassion and renunciation, composed in the classical kāvya style by one of the most influential polymaths of the late sixteenth century. Though overshadowed by his massive philosophical and exegetical output, this short poetic work exemplifies the intersection of bhakti devotion and Advaita Vedānta in the vernacularizing Early Modern period. Its specialist readership reflects the niche appeal of post-Śaṅkara doxographic poetry composed by a scholar primarily known for technical treatises.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_asaGga-abhidharmasamuccaya,san,Abhidharmasamuccaya,Asaṅga,,corpus_sa_asaGga-abhidharmasamuccaya,,work,,,,25744,whitespace_tokens,,philosophy,buddhist|buddhist_abhidharma,40,common,55,common,Buddhist Philosophy,Classical,"['c. 4th', 'c. 5th']",single_attributed,40,common,Buddhist Philosophy,55,common,high,"Asaṅga's Abhidharmasamuccaya is a foundational Yogācāra Buddhist philosophical text that systematically presents Abhidharma categories from a Mahāyāna perspective. Composed in the 4th–5th century CE, it is a key work for the study of Buddhist philosophy, particularly the Yogācāra school, and is widely cited in scholarly literature on Indian Buddhist thought.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_asaGga-abhidharmasamuccaya,san,Abhidharmasamuccaya,Asaṅga,,GRETIL_sa_asaGga-abhidharmasamuccaya,,work,,,,17679,whitespace_tokens,,religion,buddhist|buddhist_abhidharma,30,specialist,50,common,Religion,Classical,,single_attributed,30,specialist,Other Sanskrit Literature,50,common,high,"The Abhidharmasamuccaya by Asaṅga (ca. 17,679 tokens) is a comprehensive compendium of Abhidharma philosophy from the Yogācāra perspective. It is a major text in Buddhist scholasticism, widely studied in Buddhist studies programs.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_asaGga-mahAyAnasUtrAlaMkAra,san,Mahāyānasūtrālaṃkāra,Asaṅga,,corpus_sa_asaGga-mahAyAnasUtrAlaMkAra,,work,,,,13114,whitespace_tokens,,philosophy,buddhist|buddhist_abhidharma,35,specialist,60,common,Buddhist Scripture,Early Medieval,ca. 4th-5th century CE,single_attributed,35,specialist,Buddhist Philosophy,60,common,high,"The Mahāyānasūtrālaṃkāra (Ornament of the Mahāyāna Sūtras) is a key Yogācāra treatise attributed to Asaṅga. It expounds the Mahāyāna path, the bodhisattva ideal, and the nature of emptiness. It is a central text for the study of Yogācāra philosophy and is commonly taught in graduate courses on Buddhist thought.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_asaGga-mahAyAnasUtrAlaMkAra,san,Mahāyānasūtrālaṃkāra,Asaṅga,,GRETIL_sa_asaGga-mahAyAnasUtrAlaMkAra,,work,,,,11976,whitespace_tokens,,philosophy,buddhist,70,major,75,major,Philosophy,Classical,,single_attributed,70,major,Buddhist Philosophy,75,major,high,"Mahāyānasūtrālaṃkāra is a seminal Mahayana Buddhist text attributed to Asaṅga, presenting the bodhisattva path and Yogācāra philosophy. It is widely studied in Buddhist scholastic traditions.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_asaGga-trizatikAyAH-prajJApAramitAyAH-kArikAsaptatiH,san,Triśatikāyāḥ prajñāpāramitāyāḥ kārikāsaptatiḥ,Asaṅga,,corpus_sa_asaGga-trizatikAyAH-prajJApAramitAyAH-kArikAsaptatiH,,work,,,,1064,whitespace_tokens,,religion,buddhist|buddhist_sutra,20,specialist,25,specialist,Religious Text,Classical,4th–5th century CE,single_attributed,20,specialist,Buddhist Scripture,25,specialist,medium,"The Triśatikāyāḥ Prajñāpāramitāyāḥ Kārikāsaptatiḥ by Asaṅga is a 1,064-word verse summary in 70 kārikās of the Triśatikā Prajñāpāramitā sūtra. As part of the Yogācāra tradition, it condenses Prajñāpāramitā philosophy. The work is specialist in the Sanskrit corpus and specialist within Buddhist scripture.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
